dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 20
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True
saver_name_pre: wasserstein_vq_refinement_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/20] Iters:[10/20018] gen_loss -0.6521, rec_loss 0.0235, lpips_loss 0.1786, g_loss -0.1730, disc_weight 0.5000, disc_adaptive_weight 4.8082, d_loss 2.4845, logits_real 0.1403, logits_fake 0.1756,
Train Epoch: [1/20] Iters:[20/20018] gen_loss -0.6908, rec_loss 0.0253, lpips_loss 0.1822, g_loss -0.1851, disc_weight 0.5000, disc_adaptive_weight 4.7667, d_loss 2.2470, logits_real 0.1449, logits_fake 0.1875,
Train Epoch: [1/20] Iters:[30/20018] gen_loss -0.5782, rec_loss 0.0253, lpips_loss 0.1835, g_loss -0.1814, disc_weight 0.5000, disc_adaptive_weight 4.2567, d_loss 2.0548, logits_real 0.1458, logits_fake 0.1834,
Train Epoch: [1/20] Iters:[40/20018] gen_loss -0.4725, rec_loss 0.0260, lpips_loss 0.1846, g_loss -0.1765, disc_weight 0.5000, disc_adaptive_weight 3.7666, d_loss 1.9090, logits_real 0.1450, logits_fake 0.1781,
Train Epoch: [1/20] Iters:[50/20018] gen_loss -0.4139, rec_loss 0.0262, lpips_loss 0.1857, g_loss -0.1739, disc_weight 0.5000, disc_adaptive_weight 3.4983, d_loss 1.7915, logits_real 0.1447, logits_fake 0.1747,
Train Epoch: [1/20] Iters:[60/20018] gen_loss -0.3135, rec_loss 0.0265, lpips_loss 0.1853, g_loss -0.1721, disc_weight 0.5000, disc_adaptive_weight 2.9664, d_loss 1.5353, logits_real 0.1456, logits_fake 0.1723,
Train Epoch: [1/20] Iters:[70/20018] gen_loss -0.1951, rec_loss 0.0260, lpips_loss 0.1838, g_loss -0.1648, disc_weight 0.5000, disc_adaptive_weight 2.4430, d_loss 1.3556, logits_real 0.1444, logits_fake 0.1647,
Train Epoch: [1/20] Iters:[80/20018] gen_loss -0.1362, rec_loss 0.0264, lpips_loss 0.1836, g_loss -0.1614, disc_weight 0.5000, disc_adaptive_weight 2.1422, d_loss 1.2336, logits_real 0.1437, logits_fake 0.1613,
Train Epoch: [1/20] Iters:[90/20018] gen_loss -0.1162, rec_loss 0.0260, lpips_loss 0.1822, g_loss -0.1593, disc_weight 0.5000, disc_adaptive_weight 2.0291, d_loss 1.1408, logits_real 0.1440, logits_fake 0.1592,
Train Epoch: [1/20] Iters:[100/20018] gen_loss -0.1006, rec_loss 0.0257, lpips_loss 0.1805, g_loss -0.1557, disc_weight 0.5000, disc_adaptive_weight 1.9658, d_loss 1.0663, logits_real 0.1440, logits_fake 0.1566,
Train Epoch: [1/20] Iters:[110/20018] gen_loss -0.0790, rec_loss 0.0262, lpips_loss 0.1821, g_loss -0.1520, disc_weight 0.5000, disc_adaptive_weight 1.8873, d_loss 1.0103, logits_real 0.1435, logits_fake 0.1527,
