dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_15
saver_name_pre: wasserstein_vq_refinement_True_15_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss 0.6077, rec_loss 0.0225, lpips_loss 0.1724, g_loss 0.1985, disc_weight 0.5000, disc_adaptive_weight 2.1045, d_loss 2.5329, logits_real -0.1890, logits_fake -0.2031,
Train Epoch: [1/15] Iters:[20/20018] gen_loss 0.5877, rec_loss 0.0242, lpips_loss 0.1751, g_loss 0.2005, disc_weight 0.5000, disc_adaptive_weight 1.9539, d_loss 2.2875, logits_real -0.1888, logits_fake -0.2022,
Train Epoch: [1/15] Iters:[30/20018] gen_loss 0.5853, rec_loss 0.0241, lpips_loss 0.1761, g_loss 0.1968, disc_weight 0.5000, disc_adaptive_weight 1.9654, d_loss 2.0893, logits_real -0.1886, logits_fake -0.1981,
Train Epoch: [1/15] Iters:[40/20018] gen_loss 0.5987, rec_loss 0.0246, lpips_loss 0.1767, g_loss 0.1957, disc_weight 0.5000, disc_adaptive_weight 2.0376, d_loss 1.9408, logits_real -0.1870, logits_fake -0.1963,
Train Epoch: [1/15] Iters:[50/20018] gen_loss 0.6717, rec_loss 0.0250, lpips_loss 0.1780, g_loss 0.1975, disc_weight 0.5000, disc_adaptive_weight 2.3661, d_loss 1.8195, logits_real -0.1868, logits_fake -0.1974,
Train Epoch: [1/15] Iters:[60/20018] gen_loss 0.6912, rec_loss 0.0253, lpips_loss 0.1777, g_loss 0.1975, disc_weight 0.5000, disc_adaptive_weight 2.4579, d_loss 1.5569, logits_real -0.1855, logits_fake -0.1964,
Train Epoch: [1/15] Iters:[70/20018] gen_loss 0.7047, rec_loss 0.0248, lpips_loss 0.1767, g_loss 0.1941, disc_weight 0.5000, disc_adaptive_weight 2.5697, d_loss 1.3737, logits_real -0.1835, logits_fake -0.1938,
Train Epoch: [1/15] Iters:[80/20018] gen_loss 0.6959, rec_loss 0.0252, lpips_loss 0.1766, g_loss 0.1932, disc_weight 0.5000, disc_adaptive_weight 2.5325, d_loss 1.2488, logits_real -0.1815, logits_fake -0.1928,
Train Epoch: [1/15] Iters:[90/20018] gen_loss 0.6752, rec_loss 0.0251, lpips_loss 0.1758, g_loss 0.1914, disc_weight 0.5000, disc_adaptive_weight 2.4470, d_loss 1.1526, logits_real -0.1806, logits_fake -0.1908,
Train Epoch: [1/15] Iters:[100/20018] gen_loss 0.5968, rec_loss 0.0247, lpips_loss 0.1743, g_loss 0.1860, disc_weight 0.5000, disc_adaptive_weight 2.1290, d_loss 1.0781, logits_real -0.1786, logits_fake -0.1857,
Train Epoch: [1/15] Iters:[110/20018] gen_loss 0.5705, rec_loss 0.0251, lpips_loss 0.1758, g_loss 0.1815, disc_weight 0.5000, disc_adaptive_weight 2.0371, d_loss 1.0198, logits_real -0.1770, logits_fake -0.1811,
Train Epoch: [1/15] Iters:[120/20018] gen_loss 0.5517, rec_loss 0.0255, lpips_loss 0.1758, g_loss 0.1791, disc_weight 0.5000, disc_adaptive_weight 1.9607, d_loss 0.9721, logits_real -0.1761, logits_fake -0.1783,
Train Epoch: [1/15] Iters:[130/20018] gen_loss 0.5558, rec_loss 0.0255, lpips_loss 0.1759, g_loss 0.1769, disc_weight 0.5000, disc_adaptive_weight 2.0061, d_loss 0.9303, logits_real -0.1751, logits_fake -0.1761,
Train Epoch: [1/15] Iters:[140/20018] gen_loss 0.5476, rec_loss 0.0250, lpips_loss 0.1754, g_loss 0.1747, disc_weight 0.5000, disc_adaptive_weight 1.9880, d_loss 0.8930, logits_real -0.1740, logits_fake -0.1742,
Train Epoch: [1/15] Iters:[150/20018] gen_loss 0.5272, rec_loss 0.0252, lpips_loss 0.1754, g_loss 0.1735, disc_weight 0.5000, disc_adaptive_weight 1.8813, d_loss 0.8636, logits_real -0.1732, logits_fake -0.1733,
Train Epoch: [1/15] Iters:[160/20018] gen_loss 0.5170, rec_loss 0.0249, lpips_loss 0.1746, g_loss 0.1721, disc_weight 0.5000, disc_adaptive_weight 1.8439, d_loss 0.8370, logits_real -0.1722, logits_fake -0.1721,
Train Epoch: [1/15] Iters:[170/20018] gen_loss 0.5134, rec_loss 0.0247, lpips_loss 0.1752, g_loss 0.1712, disc_weight 0.5000, disc_adaptive_weight 1.8309, d_loss 0.8154, logits_real -0.1715, logits_fake -0.1711,
Train Epoch: [1/15] Iters:[180/20018] gen_loss 0.5180, rec_loss 0.0244, lpips_loss 0.1739, g_loss 0.1701, disc_weight 0.5000, disc_adaptive_weight 1.8806, d_loss 0.7967, logits_real -0.1706, logits_fake -0.1701,
Train Epoch: [1/15] Iters:[190/20018] gen_loss 0.5223, rec_loss 0.0244, lpips_loss 0.1737, g_loss 0.1691, disc_weight 0.5000, disc_adaptive_weight 1.9192, d_loss 0.7813, logits_real -0.1697, logits_fake -0.1691,
Train Epoch: [1/15] Iters:[200/20018] gen_loss 0.5392, rec_loss 0.0243, lpips_loss 0.1735, g_loss 0.1679, disc_weight 0.5000, disc_adaptive_weight 2.0339, d_loss 0.7661, logits_real -0.1689, logits_fake -0.1682,
Train Epoch: [1/15] Iters:[210/20018] gen_loss 0.5374, rec_loss 0.0241, lpips_loss 0.1720, g_loss 0.1676, disc_weight 0.5000, disc_adaptive_weight 2.0379, d_loss 0.7530, logits_real -0.1686, logits_fake -0.1674,
Train Epoch: [1/15] Iters:[220/20018] gen_loss 0.5333, rec_loss 0.0240, lpips_loss 0.1716, g_loss 0.1673, disc_weight 0.5000, disc_adaptive_weight 2.0195, d_loss 0.7411, logits_real -0.1682, logits_fake -0.1670,
Train Epoch: [1/15] Iters:[230/20018] gen_loss 0.5329, rec_loss 0.0241, lpips_loss 0.1720, g_loss 0.1667, disc_weight 0.5000, disc_adaptive_weight 2.0236, d_loss 0.7300, logits_real -0.1676, logits_fake -0.1665,
Train Epoch: [1/15] Iters:[240/20018] gen_loss 0.5378, rec_loss 0.0249, lpips_loss 0.1733, g_loss 0.1663, disc_weight 0.5000, disc_adaptive_weight 2.0452, d_loss 0.7213, logits_real -0.1673, logits_fake -0.1662,
Train Epoch: [1/15] Iters:[250/20018] gen_loss 0.5284, rec_loss 0.0246, lpips_loss 0.1728, g_loss 0.1660, disc_weight 0.5000, disc_adaptive_weight 1.9978, d_loss 0.7126, logits_real -0.1666, logits_fake -0.1656,
Train Epoch: [1/15] Iters:[260/20018] gen_loss 0.5308, rec_loss 0.0246, lpips_loss 0.1743, g_loss 0.1653, disc_weight 0.5000, disc_adaptive_weight 2.0106, d_loss 0.7048, logits_real -0.1658, logits_fake -0.1650,
Train Epoch: [1/15] Iters:[270/20018] gen_loss 0.5270, rec_loss 0.0246, lpips_loss 0.1736, g_loss 0.1642, disc_weight 0.5000, disc_adaptive_weight 2.0043, d_loss 0.6979, logits_real -0.1648, logits_fake -0.1639,
Train Epoch: [1/15] Iters:[280/20018] gen_loss 0.5282, rec_loss 0.0244, lpips_loss 0.1728, g_loss 0.1635, disc_weight 0.5000, disc_adaptive_weight 2.0262, d_loss 0.6917, logits_real -0.1640, logits_fake -0.1633,
Train Epoch: [1/15] Iters:[290/20018] gen_loss 0.5150, rec_loss 0.0235, lpips_loss 0.1707, g_loss 0.1625, disc_weight 0.5000, disc_adaptive_weight 1.9732, d_loss 0.6844, logits_real -0.1631, logits_fake -0.1624,
Train Epoch: [1/15] Iters:[300/20018] gen_loss 0.5186, rec_loss 0.0240, lpips_loss 0.1706, g_loss 0.1617, disc_weight 0.5000, disc_adaptive_weight 2.0029, d_loss 0.6799, logits_real -0.1623, logits_fake -0.1617,
Train Epoch: [1/15] Iters:[310/20018] gen_loss 0.5104, rec_loss 0.0239, lpips_loss 0.1709, g_loss 0.1609, disc_weight 0.5000, disc_adaptive_weight 1.9600, d_loss 0.6743, logits_real -0.1614, logits_fake -0.1611,
