dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: vanilla_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_16384_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_quantizer_4
saver_name_pre: vanilla_quantizer_4_ImageNet_model_16384_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.5047, vq_loss 0.0858, rec_loss 0.4189, quant_error 0.3431, codebook_utilization 0.0482, codebook_perplexity 235.0813,
Train Epoch: [1/4] Iters:[20/40036] loss 0.4965, vq_loss 0.0853, rec_loss 0.4112, quant_error 0.3413, codebook_utilization 0.0465, codebook_perplexity 233.1888,
Train Epoch: [1/4] Iters:[30/40036] loss 0.4858, vq_loss 0.0844, rec_loss 0.4014, quant_error 0.3377, codebook_utilization 0.0440, codebook_perplexity 228.8976,
Train Epoch: [1/4] Iters:[40/40036] loss 0.4753, vq_loss 0.0826, rec_loss 0.3927, quant_error 0.3303, codebook_utilization 0.0416, codebook_perplexity 226.4187,
Train Epoch: [1/4] Iters:[50/40036] loss 0.4634, vq_loss 0.0796, rec_loss 0.3837, quant_error 0.3186, codebook_utilization 0.0394, codebook_perplexity 227.1583,
Train Epoch: [1/4] Iters:[60/40036] loss 0.4438, vq_loss 0.0742, rec_loss 0.3696, quant_error 0.2968, codebook_utilization 0.0352, codebook_perplexity 227.6855,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4242, vq_loss 0.0675, rec_loss 0.3566, quant_error 0.2702, codebook_utilization 0.0311, codebook_perplexity 226.4560,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4055, vq_loss 0.0605, rec_loss 0.3450, quant_error 0.2421, codebook_utilization 0.0275, codebook_perplexity 222.4774,
Train Epoch: [1/4] Iters:[90/40036] loss 0.3896, vq_loss 0.0542, rec_loss 0.3353, quant_error 0.2169, codebook_utilization 0.0243, codebook_perplexity 214.6893,
Train Epoch: [1/4] Iters:[100/40036] loss 0.3772, vq_loss 0.0494, rec_loss 0.3278, quant_error 0.1976, codebook_utilization 0.0215, codebook_perplexity 202.4764,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3696, vq_loss 0.0463, rec_loss 0.3232, quant_error 0.1853, codebook_utilization 0.0190, codebook_perplexity 188.2095,
