dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_16384_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_4
saver_name_pre: online_quantizer_4_ImageNet_model_16384_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.5424, vq_loss 0.0830, rec_loss 0.4594, quant_error 0.3319, codebook_utilization 0.0393, codebook_perplexity 222.7366,
Train Epoch: [1/4] Iters:[20/40036] loss 0.5434, vq_loss 0.0803, rec_loss 0.4632, quant_error 0.3210, codebook_utilization 0.0384, codebook_perplexity 226.2621,
Train Epoch: [1/4] Iters:[30/40036] loss 0.5375, vq_loss 0.0774, rec_loss 0.4601, quant_error 0.3095, codebook_utilization 0.0376, codebook_perplexity 230.7159,
Train Epoch: [1/4] Iters:[40/40036] loss 0.5296, vq_loss 0.0745, rec_loss 0.4550, quant_error 0.2981, codebook_utilization 0.0365, codebook_perplexity 235.6886,
Train Epoch: [1/4] Iters:[50/40036] loss 0.5192, vq_loss 0.0714, rec_loss 0.4478, quant_error 0.2857, codebook_utilization 0.0353, codebook_perplexity 240.6732,
Train Epoch: [1/4] Iters:[60/40036] loss 0.5041, vq_loss 0.0654, rec_loss 0.4387, quant_error 0.2617, codebook_utilization 0.0329, codebook_perplexity 247.4997,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4840, vq_loss 0.0595, rec_loss 0.4246, quant_error 0.2379, codebook_utilization 0.0303, codebook_perplexity 249.2481,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4616, vq_loss 0.0540, rec_loss 0.4076, quant_error 0.2158, codebook_utilization 0.0276, codebook_perplexity 243.2871,
Train Epoch: [1/4] Iters:[90/40036] loss 0.4397, vq_loss 0.0492, rec_loss 0.3905, quant_error 0.1968, codebook_utilization 0.0249, codebook_perplexity 229.4864,
Train Epoch: [1/4] Iters:[100/40036] loss 0.4188, vq_loss 0.0454, rec_loss 0.3734, quant_error 0.1818, codebook_utilization 0.0224, codebook_perplexity 211.8519,
Train Epoch: [1/4] Iters:[110/40036] loss 0.4009, vq_loss 0.0425, rec_loss 0.3584, quant_error 0.1702, codebook_utilization 0.0202, codebook_perplexity 194.9243,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3834, vq_loss 0.0405, rec_loss 0.3429, quant_error 0.1619, codebook_utilization 0.0185, codebook_perplexity 180.3990,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3684, vq_loss 0.0389, rec_loss 0.3295, quant_error 0.1556, codebook_utilization 0.0171, codebook_perplexity 168.8305,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3590, vq_loss 0.0378, rec_loss 0.3213, quant_error 0.1510, codebook_utilization 0.0161, codebook_perplexity 160.2430,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3507, vq_loss 0.0376, rec_loss 0.3131, quant_error 0.1503, codebook_utilization 0.0154, codebook_perplexity 149.0415,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3418, vq_loss 0.0385, rec_loss 0.3033, quant_error 0.1539, codebook_utilization 0.0149, codebook_perplexity 133.5590,
Train Epoch: [1/4] Iters:[170/40036] loss 0.3322, vq_loss 0.0400, rec_loss 0.2922, quant_error 0.1599, codebook_utilization 0.0145, codebook_perplexity 114.8536,
Train Epoch: [1/4] Iters:[180/40036] loss 0.3212, vq_loss 0.0416, rec_loss 0.2796, quant_error 0.1663, codebook_utilization 0.0142, codebook_perplexity 96.4061,
Train Epoch: [1/4] Iters:[190/40036] loss 0.3051, vq_loss 0.0427, rec_loss 0.2625, quant_error 0.1707, codebook_utilization 0.0139, codebook_perplexity 79.3613,
Train Epoch: [1/4] Iters:[200/40036] loss 0.2927, vq_loss 0.0431, rec_loss 0.2496, quant_error 0.1723, codebook_utilization 0.0136, codebook_perplexity 64.9962,
Train Epoch: [1/4] Iters:[210/40036] loss 0.2814, vq_loss 0.0423, rec_loss 0.2391, quant_error 0.1693, codebook_utilization 0.0132, codebook_perplexity 53.5452,
Train Epoch: [1/4] Iters:[220/40036] loss 0.2720, vq_loss 0.0409, rec_loss 0.2312, quant_error 0.1635, codebook_utilization 0.0128, codebook_perplexity 45.4636,
Train Epoch: [1/4] Iters:[230/40036] loss 0.2615, vq_loss 0.0393, rec_loss 0.2222, quant_error 0.1574, codebook_utilization 0.0124, codebook_perplexity 38.1831,
Train Epoch: [1/4] Iters:[240/40036] loss 0.2564, vq_loss 0.0381, rec_loss 0.2183, quant_error 0.1524, codebook_utilization 0.0120, codebook_perplexity 31.9530,
Train Epoch: [1/4] Iters:[250/40036] loss 0.2483, vq_loss 0.0367, rec_loss 0.2116, quant_error 0.1469, codebook_utilization 0.0115, codebook_perplexity 27.7261,
