dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_50000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_4
saver_name_pre: online_quantizer_4_ImageNet_model_50000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.5619, vq_loss 0.0814, rec_loss 0.4805, quant_error 0.3257, codebook_utilization 0.0197, codebook_perplexity 429.3790,
Train Epoch: [1/4] Iters:[20/40036] loss 0.5536, vq_loss 0.0789, rec_loss 0.4748, quant_error 0.3154, codebook_utilization 0.0184, codebook_perplexity 410.1145,
Train Epoch: [1/4] Iters:[30/40036] loss 0.5433, vq_loss 0.0762, rec_loss 0.4671, quant_error 0.3048, codebook_utilization 0.0168, codebook_perplexity 385.3260,
Train Epoch: [1/4] Iters:[40/40036] loss 0.5357, vq_loss 0.0735, rec_loss 0.4621, quant_error 0.2942, codebook_utilization 0.0152, codebook_perplexity 357.9960,
Train Epoch: [1/4] Iters:[50/40036] loss 0.5229, vq_loss 0.0710, rec_loss 0.4519, quant_error 0.2841, codebook_utilization 0.0138, codebook_perplexity 329.4881,
Train Epoch: [1/4] Iters:[60/40036] loss 0.5029, vq_loss 0.0660, rec_loss 0.4369, quant_error 0.2642, codebook_utilization 0.0112, codebook_perplexity 279.1518,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4805, vq_loss 0.0613, rec_loss 0.4192, quant_error 0.2451, codebook_utilization 0.0089, codebook_perplexity 230.9768,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4591, vq_loss 0.0568, rec_loss 0.4023, quant_error 0.2274, codebook_utilization 0.0072, codebook_perplexity 191.4326,
Train Epoch: [1/4] Iters:[90/40036] loss 0.4375, vq_loss 0.0529, rec_loss 0.3846, quant_error 0.2116, codebook_utilization 0.0061, codebook_perplexity 163.9038,
Train Epoch: [1/4] Iters:[100/40036] loss 0.4151, vq_loss 0.0492, rec_loss 0.3660, quant_error 0.1967, codebook_utilization 0.0053, codebook_perplexity 149.7827,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3943, vq_loss 0.0456, rec_loss 0.3487, quant_error 0.1824, codebook_utilization 0.0049, codebook_perplexity 143.5644,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3794, vq_loss 0.0424, rec_loss 0.3371, quant_error 0.1694, codebook_utilization 0.0045, codebook_perplexity 143.1696,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3652, vq_loss 0.0393, rec_loss 0.3259, quant_error 0.1573, codebook_utilization 0.0043, codebook_perplexity 144.7188,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3521, vq_loss 0.0365, rec_loss 0.3156, quant_error 0.1461, codebook_utilization 0.0042, codebook_perplexity 145.4648,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3476, vq_loss 0.0342, rec_loss 0.3134, quant_error 0.1368, codebook_utilization 0.0041, codebook_perplexity 143.7744,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3441, vq_loss 0.0329, rec_loss 0.3112, quant_error 0.1318, codebook_utilization 0.0041, codebook_perplexity 138.9473,
Train Epoch: [1/4] Iters:[170/40036] loss 0.3392, vq_loss 0.0331, rec_loss 0.3061, quant_error 0.1324, codebook_utilization 0.0041, codebook_perplexity 130.3150,
Train Epoch: [1/4] Iters:[180/40036] loss 0.3333, vq_loss 0.0348, rec_loss 0.2985, quant_error 0.1393, codebook_utilization 0.0040, codebook_perplexity 118.3747,
Train Epoch: [1/4] Iters:[190/40036] loss 0.3279, vq_loss 0.0375, rec_loss 0.2904, quant_error 0.1501, codebook_utilization 0.0040, codebook_perplexity 104.6934,
Train Epoch: [1/4] Iters:[200/40036] loss 0.3174, vq_loss 0.0408, rec_loss 0.2766, quant_error 0.1633, codebook_utilization 0.0040, codebook_perplexity 89.0636,
Train Epoch: [1/4] Iters:[210/40036] loss 0.3032, vq_loss 0.0435, rec_loss 0.2597, quant_error 0.1741, codebook_utilization 0.0040, codebook_perplexity 75.0117,
