dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_50000_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_4
saver_name_pre: wasserstein_quantizer_4_ImageNet_model_50000_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.9623, vq_loss 0.5435, rec_loss 0.4188, wasserstein_loss 1.0498, quant_error 0.1351, codebook_utilization 0.0480, codebook_perplexity 928.4143,
Train Epoch: [1/4] Iters:[20/40036] loss 0.8164, vq_loss 0.3890, rec_loss 0.4274, wasserstein_loss 0.7485, quant_error 0.1070, codebook_utilization 0.0415, codebook_perplexity 589.0261,
Train Epoch: [1/4] Iters:[30/40036] loss 0.7303, vq_loss 0.3022, rec_loss 0.4281, wasserstein_loss 0.5793, quant_error 0.0912, codebook_utilization 0.0440, codebook_perplexity 618.0124,
Train Epoch: [1/4] Iters:[40/40036] loss 0.6706, vq_loss 0.2455, rec_loss 0.4251, wasserstein_loss 0.4686, quant_error 0.0816, codebook_utilization 0.0458, codebook_perplexity 681.8458,
Train Epoch: [1/4] Iters:[50/40036] loss 0.6254, vq_loss 0.2065, rec_loss 0.4189, wasserstein_loss 0.3924, quant_error 0.0747, codebook_utilization 0.0477, codebook_perplexity 773.2534,
Train Epoch: [1/4] Iters:[60/40036] loss 0.5165, vq_loss 0.1054, rec_loss 0.4111, wasserstein_loss 0.1952, quant_error 0.0565, codebook_utilization 0.0497, codebook_perplexity 865.6155,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4601, vq_loss 0.0647, rec_loss 0.3954, wasserstein_loss 0.1158, quant_error 0.0490, codebook_utilization 0.0550, codebook_perplexity 1133.8350,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4256, vq_loss 0.0456, rec_loss 0.3800, wasserstein_loss 0.0789, quant_error 0.0449, codebook_utilization 0.0582, codebook_perplexity 1363.3228,
Train Epoch: [1/4] Iters:[90/40036] loss 0.3992, vq_loss 0.0362, rec_loss 0.3629, wasserstein_loss 0.0610, quant_error 0.0416, codebook_utilization 0.0618, codebook_perplexity 1593.9737,
Train Epoch: [1/4] Iters:[100/40036] loss 0.3785, vq_loss 0.0321, rec_loss 0.3464, wasserstein_loss 0.0534, quant_error 0.0391, codebook_utilization 0.0649, codebook_perplexity 1788.4784,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3624, vq_loss 0.0302, rec_loss 0.3322, wasserstein_loss 0.0501, quant_error 0.0370, codebook_utilization 0.0681, codebook_perplexity 1972.4806,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3492, vq_loss 0.0302, rec_loss 0.3189, wasserstein_loss 0.0508, quant_error 0.0354, codebook_utilization 0.0714, codebook_perplexity 2167.5526,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3301, vq_loss 0.0294, rec_loss 0.3007, wasserstein_loss 0.0495, quant_error 0.0343, codebook_utilization 0.0744, codebook_perplexity 2336.4255,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3134, vq_loss 0.0298, rec_loss 0.2836, wasserstein_loss 0.0504, quant_error 0.0337, codebook_utilization 0.0770, codebook_perplexity 2492.2794,
Train Epoch: [1/4] Iters:[150/40036] loss 0.2979, vq_loss 0.0284, rec_loss 0.2695, wasserstein_loss 0.0477, quant_error 0.0334, codebook_utilization 0.0796, codebook_perplexity 2664.8641,
Train Epoch: [1/4] Iters:[160/40036] loss 0.2823, vq_loss 0.0277, rec_loss 0.2546, wasserstein_loss 0.0463, quant_error 0.0332, codebook_utilization 0.0822, codebook_perplexity 2831.7484,
Train Epoch: [1/4] Iters:[170/40036] loss 0.2654, vq_loss 0.0267, rec_loss 0.2387, wasserstein_loss 0.0443, quant_error 0.0331, codebook_utilization 0.0843, codebook_perplexity 2967.3678,
Train Epoch: [1/4] Iters:[180/40036] loss 0.2561, vq_loss 0.0276, rec_loss 0.2285, wasserstein_loss 0.0462, quant_error 0.0329, codebook_utilization 0.0862, codebook_perplexity 3097.8106,
Train Epoch: [1/4] Iters:[190/40036] loss 0.2485, vq_loss 0.0283, rec_loss 0.2202, wasserstein_loss 0.0475, quant_error 0.0328, codebook_utilization 0.0881, codebook_perplexity 3220.8902,
