dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: ema_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_50000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_quantizer_4
saver_name_pre: ema_quantizer_4_ImageNet_model_50000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.4619, vq_loss 0.0090, rec_loss 0.4529, quant_error 0.0717, codebook_utilization 0.0290, codebook_perplexity 559.9732,
Train Epoch: [1/4] Iters:[20/40036] loss 0.4650, vq_loss 0.0064, rec_loss 0.4586, quant_error 0.0508, codebook_utilization 0.0644, codebook_perplexity 1885.9821,
Train Epoch: [1/4] Iters:[30/40036] loss 0.4625, vq_loss 0.0054, rec_loss 0.4571, quant_error 0.0436, codebook_utilization 0.0788, codebook_perplexity 2708.3086,
Train Epoch: [1/4] Iters:[40/40036] loss 0.4539, vq_loss 0.0050, rec_loss 0.4490, quant_error 0.0398, codebook_utilization 0.0864, codebook_perplexity 3176.0006,
Train Epoch: [1/4] Iters:[50/40036] loss 0.4458, vq_loss 0.0047, rec_loss 0.4412, quant_error 0.0375, codebook_utilization 0.0906, codebook_perplexity 3432.0911,
Train Epoch: [1/4] Iters:[60/40036] loss 0.4318, vq_loss 0.0036, rec_loss 0.4282, quant_error 0.0287, codebook_utilization 0.1058, codebook_perplexity 4191.6644,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4137, vq_loss 0.0035, rec_loss 0.4102, quant_error 0.0283, codebook_utilization 0.1067, codebook_perplexity 4411.9757,
Train Epoch: [1/4] Iters:[80/40036] loss 0.3960, vq_loss 0.0035, rec_loss 0.3925, quant_error 0.0281, codebook_utilization 0.1057, codebook_perplexity 4387.4543,
Train Epoch: [1/4] Iters:[90/40036] loss 0.3783, vq_loss 0.0035, rec_loss 0.3748, quant_error 0.0279, codebook_utilization 0.1043, codebook_perplexity 4320.3409,
Train Epoch: [1/4] Iters:[100/40036] loss 0.3639, vq_loss 0.0035, rec_loss 0.3604, quant_error 0.0278, codebook_utilization 0.1035, codebook_perplexity 4278.6019,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3485, vq_loss 0.0035, rec_loss 0.3451, quant_error 0.0277, codebook_utilization 0.1031, codebook_perplexity 4270.8901,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3306, vq_loss 0.0035, rec_loss 0.3272, quant_error 0.0277, codebook_utilization 0.1029, codebook_perplexity 4258.2607,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3137, vq_loss 0.0035, rec_loss 0.3103, quant_error 0.0277, codebook_utilization 0.1026, codebook_perplexity 4242.3190,
Train Epoch: [1/4] Iters:[140/40036] loss 0.2958, vq_loss 0.0035, rec_loss 0.2923, quant_error 0.0278, codebook_utilization 0.1021, codebook_perplexity 4205.5051,
Train Epoch: [1/4] Iters:[150/40036] loss 0.2752, vq_loss 0.0035, rec_loss 0.2718, quant_error 0.0277, codebook_utilization 0.1014, codebook_perplexity 4171.3895,
Train Epoch: [1/4] Iters:[160/40036] loss 0.2582, vq_loss 0.0035, rec_loss 0.2548, quant_error 0.0276, codebook_utilization 0.1004, codebook_perplexity 4121.4506,
Train Epoch: [1/4] Iters:[170/40036] loss 0.2457, vq_loss 0.0034, rec_loss 0.2423, quant_error 0.0274, codebook_utilization 0.0997, codebook_perplexity 4088.5977,
Train Epoch: [1/4] Iters:[180/40036] loss 0.2326, vq_loss 0.0034, rec_loss 0.2292, quant_error 0.0269, codebook_utilization 0.0993, codebook_perplexity 4077.8640,
Train Epoch: [1/4] Iters:[190/40036] loss 0.2244, vq_loss 0.0033, rec_loss 0.2211, quant_error 0.0263, codebook_utilization 0.0990, codebook_perplexity 4069.3575,
Train Epoch: [1/4] Iters:[200/40036] loss 0.2188, vq_loss 0.0032, rec_loss 0.2156, quant_error 0.0257, codebook_utilization 0.0984, codebook_perplexity 4037.5704,
