dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 1024
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_1024_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_1024_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.6772, vq_loss 1.1245, rec_loss 0.2764, wasserstein_loss 1.7729, quant_error 1.7311, codebook_utilization 0.2527, codebook_perplexity 49.7072,
Train Epoch: [1/30] Iters:[20/2187] loss 1.7302, vq_loss 1.2899, rec_loss 0.2202, wasserstein_loss 1.7196, quant_error 3.1277, codebook_utilization 0.2768, codebook_perplexity 59.1381,
Train Epoch: [1/30] Iters:[30/2187] loss 1.5093, vq_loss 1.1272, rec_loss 0.1910, wasserstein_loss 1.5761, quant_error 2.4665, codebook_utilization 0.3110, codebook_perplexity 68.9668,
Train Epoch: [1/30] Iters:[40/2187] loss 1.3116, vq_loss 0.9745, rec_loss 0.1686, wasserstein_loss 1.4025, quant_error 1.9873, codebook_utilization 0.3265, codebook_perplexity 75.8062,
Train Epoch: [1/30] Iters:[50/2187] loss 1.1647, vq_loss 0.8619, rec_loss 0.1514, wasserstein_loss 1.2618, quant_error 1.6800, codebook_utilization 0.3572, codebook_perplexity 84.8049,
Train Epoch: [1/30] Iters:[60/2187] loss 0.9151, vq_loss 0.6916, rec_loss 0.1117, wasserstein_loss 1.0009, quant_error 1.3906, codebook_utilization 0.4343, codebook_perplexity 113.9692,
Train Epoch: [1/30] Iters:[70/2187] loss 0.6093, vq_loss 0.4241, rec_loss 0.0926, wasserstein_loss 0.7020, quant_error 0.5317, codebook_utilization 0.5246, codebook_perplexity 162.2332,
Train Epoch: [1/30] Iters:[80/2187] loss 0.4435, vq_loss 0.2867, rec_loss 0.0784, wasserstein_loss 0.4805, quant_error 0.3376, codebook_utilization 0.6089, codebook_perplexity 231.8200,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3419, vq_loss 0.2028, rec_loss 0.0695, wasserstein_loss 0.3348, quant_error 0.2578, codebook_utilization 0.6934, codebook_perplexity 299.3736,
Train Epoch: [1/30] Iters:[100/2187] loss 0.2669, vq_loss 0.1377, rec_loss 0.0646, wasserstein_loss 0.2227, quant_error 0.1917, codebook_utilization 0.7634, codebook_perplexity 370.7518,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2225, vq_loss 0.1007, rec_loss 0.0609, wasserstein_loss 0.1583, quant_error 0.1564, codebook_utilization 0.7995, codebook_perplexity 429.2894,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2148, vq_loss 0.0972, rec_loss 0.0588, wasserstein_loss 0.1575, quant_error 0.1343, codebook_utilization 0.8154, codebook_perplexity 468.9645,
Train Epoch: [1/30] Iters:[130/2187] loss 0.2012, vq_loss 0.0879, rec_loss 0.0566, wasserstein_loss 0.1432, quant_error 0.1185, codebook_utilization 0.8255, codebook_perplexity 492.8146,
Train Epoch: [1/30] Iters:[140/2187] loss 0.1960, vq_loss 0.0849, rec_loss 0.0556, wasserstein_loss 0.1411, quant_error 0.1041, codebook_utilization 0.8370, codebook_perplexity 516.6412,
Train Epoch: [1/30] Iters:[150/2187] loss 0.1921, vq_loss 0.0847, rec_loss 0.0537, wasserstein_loss 0.1434, quant_error 0.0945, codebook_utilization 0.8409, codebook_perplexity 532.9716,
Train Epoch: [1/30] Iters:[160/2187] loss 0.1799, vq_loss 0.0770, rec_loss 0.0514, wasserstein_loss 0.1297, quant_error 0.0883, codebook_utilization 0.8461, codebook_perplexity 550.3873,
Train Epoch: [1/30] Iters:[170/2187] loss 0.1636, vq_loss 0.0656, rec_loss 0.0490, wasserstein_loss 0.1093, quant_error 0.0794, codebook_utilization 0.8565, codebook_perplexity 573.5162,
Train Epoch: [1/30] Iters:[180/2187] loss 0.1597, vq_loss 0.0644, rec_loss 0.0477, wasserstein_loss 0.1079, quant_error 0.0759, codebook_utilization 0.8666, codebook_perplexity 589.8633,
Train Epoch: [1/30] Iters:[190/2187] loss 0.1505, vq_loss 0.0586, rec_loss 0.0460, wasserstein_loss 0.0965, quant_error 0.0756, codebook_utilization 0.8774, codebook_perplexity 610.6441,
Train Epoch: [1/30] Iters:[200/2187] loss 0.1461, vq_loss 0.0572, rec_loss 0.0444, wasserstein_loss 0.0919, quant_error 0.0822, codebook_utilization 0.8846, codebook_perplexity 619.9353,
Train Epoch: [1/30] Iters:[210/2187] loss 0.1403, vq_loss 0.0558, rec_loss 0.0422, wasserstein_loss 0.0884, quant_error 0.0846, codebook_utilization 0.8996, codebook_perplexity 643.1167,
Train Epoch: [1/30] Iters:[220/2187] loss 0.1377, vq_loss 0.0561, rec_loss 0.0408, wasserstein_loss 0.0883, quant_error 0.0871, codebook_utilization 0.9098, codebook_perplexity 659.5739,
Train Epoch: [1/30] Iters:[230/2187] loss 0.1359, vq_loss 0.0565, rec_loss 0.0397, wasserstein_loss 0.0885, quant_error 0.0894, codebook_utilization 0.9151, codebook_perplexity 668.5476,
Train Epoch: [1/30] Iters:[240/2187] loss 0.1339, vq_loss 0.0573, rec_loss 0.0383, wasserstein_loss 0.0895, quant_error 0.0915, codebook_utilization 0.9203, codebook_perplexity 677.8220,
Train Epoch: [1/30] Iters:[250/2187] loss 0.1298, vq_loss 0.0560, rec_loss 0.0369, wasserstein_loss 0.0878, quant_error 0.0882, codebook_utilization 0.9316, codebook_perplexity 699.4686,
Train Epoch: [1/30] Iters:[260/2187] loss 0.1386, vq_loss 0.0656, rec_loss 0.0365, wasserstein_loss 0.1069, quant_error 0.0884, codebook_utilization 0.9356, codebook_perplexity 705.5493,
Train Epoch: [1/30] Iters:[270/2187] loss 0.1440, vq_loss 0.0738, rec_loss 0.0351, wasserstein_loss 0.1232, quant_error 0.0883, codebook_utilization 0.9381, codebook_perplexity 710.5801,
Train Epoch: [1/30] Iters:[280/2187] loss 0.1391, vq_loss 0.0713, rec_loss 0.0339, wasserstein_loss 0.1186, quant_error 0.0873, codebook_utilization 0.9427, codebook_perplexity 720.6718,
Train Epoch: [1/30] Iters:[290/2187] loss 0.1387, vq_loss 0.0728, rec_loss 0.0329, wasserstein_loss 0.1222, quant_error 0.0850, codebook_utilization 0.9457, codebook_perplexity 725.0497,
Train Epoch: [1/30] Iters:[300/2187] loss 0.1408, vq_loss 0.0763, rec_loss 0.0323, wasserstein_loss 0.1299, quant_error 0.0823, codebook_utilization 0.9446, codebook_perplexity 724.3619,
Train Epoch: [1/30] Iters:[310/2187] loss 0.1303, vq_loss 0.0671, rec_loss 0.0316, wasserstein_loss 0.1118, quant_error 0.0818, codebook_utilization 0.9469, codebook_perplexity 725.7183,
Train Epoch: [1/30] Iters:[320/2187] loss 0.1298, vq_loss 0.0669, rec_loss 0.0314, wasserstein_loss 0.1113, quant_error 0.0820, codebook_utilization 0.9481, codebook_perplexity 726.7765,
Train Epoch: [1/30] Iters:[330/2187] loss 0.1310, vq_loss 0.0691, rec_loss 0.0310, wasserstein_loss 0.1155, quant_error 0.0829, codebook_utilization 0.9502, codebook_perplexity 729.2239,
Train Epoch: [1/30] Iters:[340/2187] loss 0.1328, vq_loss 0.0714, rec_loss 0.0307, wasserstein_loss 0.1197, quant_error 0.0837, codebook_utilization 0.9541, codebook_perplexity 738.8494,
Train Epoch: [1/30] Iters:[350/2187] loss 0.1277, vq_loss 0.0667, rec_loss 0.0305, wasserstein_loss 0.1103, quant_error 0.0836, codebook_utilization 0.9601, codebook_perplexity 751.2777,
Train Epoch: [1/30] Iters:[360/2187] loss 0.1284, vq_loss 0.0679, rec_loss 0.0302, wasserstein_loss 0.1132, quant_error 0.0822, codebook_utilization 0.9633, codebook_perplexity 762.6025,
Train Epoch: [1/30] Iters:[370/2187] loss 0.1217, vq_loss 0.0626, rec_loss 0.0296, wasserstein_loss 0.1030, quant_error 0.0804, codebook_utilization 0.9669, codebook_perplexity 772.7895,
Train Epoch: [1/30] Iters:[380/2187] loss 0.1189, vq_loss 0.0608, rec_loss 0.0291, wasserstein_loss 0.0999, quant_error 0.0790, codebook_utilization 0.9702, codebook_perplexity 784.8804,
Train Epoch: [1/30] Iters:[390/2187] loss 0.1124, vq_loss 0.0557, rec_loss 0.0284, wasserstein_loss 0.0897, quant_error 0.0791, codebook_utilization 0.9722, codebook_perplexity 788.9007,
Train Epoch: [1/30] Iters:[400/2187] loss 0.1116, vq_loss 0.0557, rec_loss 0.0280, wasserstein_loss 0.0892, quant_error 0.0805, codebook_utilization 0.9746, codebook_perplexity 795.6181,
Train Epoch: [1/30] Iters:[410/2187] loss 0.1095, vq_loss 0.0556, rec_loss 0.0270, wasserstein_loss 0.0888, quant_error 0.0810, codebook_utilization 0.9772, codebook_perplexity 802.1965,
Train Epoch: [1/30] Iters:[420/2187] loss 0.1092, vq_loss 0.0552, rec_loss 0.0270, wasserstein_loss 0.0877, quant_error 0.0824, codebook_utilization 0.9793, codebook_perplexity 809.2817,
Train Epoch: [1/30] Iters:[430/2187] loss 0.1047, vq_loss 0.0519, rec_loss 0.0264, wasserstein_loss 0.0806, quant_error 0.0842, codebook_utilization 0.9804, codebook_perplexity 812.8875,
Train Epoch: [1/30] Iters:[440/2187] loss 0.1038, vq_loss 0.0510, rec_loss 0.0264, wasserstein_loss 0.0782, quant_error 0.0861, codebook_utilization 0.9818, codebook_perplexity 818.2139,
Train Epoch: [1/30] Iters:[450/2187] loss 0.1032, vq_loss 0.0513, rec_loss 0.0259, wasserstein_loss 0.0787, quant_error 0.0870, codebook_utilization 0.9828, codebook_perplexity 822.0578,
Train Epoch: [1/30] Iters:[460/2187] loss 0.1048, vq_loss 0.0530, rec_loss 0.0259, wasserstein_loss 0.0821, quant_error 0.0870, codebook_utilization 0.9838, codebook_perplexity 824.0688,
Train Epoch: [1/30] Iters:[470/2187] loss 0.1022, vq_loss 0.0510, rec_loss 0.0256, wasserstein_loss 0.0783, quant_error 0.0863, codebook_utilization 0.9844, codebook_perplexity 825.0234,
Train Epoch: [1/30] Iters:[480/2187] loss 0.1043, vq_loss 0.0516, rec_loss 0.0263, wasserstein_loss 0.0796, quant_error 0.0860, codebook_utilization 0.9851, codebook_perplexity 828.5190,
Train Epoch: [1/30] Iters:[490/2187] loss 0.1075, vq_loss 0.0548, rec_loss 0.0263, wasserstein_loss 0.0850, quant_error 0.0893, codebook_utilization 0.9844, codebook_perplexity 827.9907,
Train Epoch: [1/30] Iters:[500/2187] loss 0.1059, vq_loss 0.0535, rec_loss 0.0262, wasserstein_loss 0.0819, quant_error 0.0911, codebook_utilization 0.9859, codebook_perplexity 831.4836,
