dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 2048
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 1
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_2048_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_2048_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.8603, vq_loss 1.1902, rec_loss 0.3351, wasserstein_loss 1.8937, quant_error 1.7698, codebook_utilization 0.0735, codebook_perplexity 31.0310,
Train Epoch: [1/30] Iters:[20/2187] loss 1.7534, vq_loss 1.2251, rec_loss 0.2642, wasserstein_loss 1.9142, quant_error 1.9488, codebook_utilization 0.1261, codebook_perplexity 55.1535,
Train Epoch: [1/30] Iters:[30/2187] loss 1.5827, vq_loss 1.1390, rec_loss 0.2219, wasserstein_loss 1.7500, quant_error 1.9196, codebook_utilization 0.1546, codebook_perplexity 63.4801,
Train Epoch: [1/30] Iters:[40/2187] loss 1.3948, vq_loss 1.0020, rec_loss 0.1964, wasserstein_loss 1.5756, quant_error 1.5575, codebook_utilization 0.1970, codebook_perplexity 76.9846,
Train Epoch: [1/30] Iters:[50/2187] loss 1.2363, vq_loss 0.8789, rec_loss 0.1787, wasserstein_loss 1.3908, quant_error 1.3343, codebook_utilization 0.2447, codebook_perplexity 103.0630,
Train Epoch: [1/30] Iters:[60/2187] loss 0.9398, vq_loss 0.6800, rec_loss 0.1299, wasserstein_loss 1.0731, quant_error 1.0433, codebook_utilization 0.3387, codebook_perplexity 156.9255,
Train Epoch: [1/30] Iters:[70/2187] loss 0.6711, vq_loss 0.4565, rec_loss 0.1073, wasserstein_loss 0.7313, quant_error 0.6609, codebook_utilization 0.4204, codebook_perplexity 242.3544,
Train Epoch: [1/30] Iters:[80/2187] loss 0.4791, vq_loss 0.2916, rec_loss 0.0938, wasserstein_loss 0.4949, quant_error 0.3212, codebook_utilization 0.5091, codebook_perplexity 359.2525,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3618, vq_loss 0.1969, rec_loss 0.0825, wasserstein_loss 0.3231, quant_error 0.2570, codebook_utilization 0.5802, codebook_perplexity 483.6507,
Train Epoch: [1/30] Iters:[100/2187] loss 0.2832, vq_loss 0.1374, rec_loss 0.0729, wasserstein_loss 0.2213, quant_error 0.1946, codebook_utilization 0.6350, codebook_perplexity 606.2089,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2466, vq_loss 0.1147, rec_loss 0.0660, wasserstein_loss 0.1876, quant_error 0.1518, codebook_utilization 0.6672, codebook_perplexity 711.8143,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2214, vq_loss 0.0996, rec_loss 0.0609, wasserstein_loss 0.1649, quant_error 0.1249, codebook_utilization 0.6966, codebook_perplexity 797.1112,
Train Epoch: [1/30] Iters:[130/2187] loss 0.1961, vq_loss 0.0814, rec_loss 0.0574, wasserstein_loss 0.1333, quant_error 0.1075, codebook_utilization 0.7230, codebook_perplexity 876.7783,
Train Epoch: [1/30] Iters:[140/2187] loss 0.1778, vq_loss 0.0682, rec_loss 0.0548, wasserstein_loss 0.1113, quant_error 0.0915, codebook_utilization 0.7437, codebook_perplexity 939.3899,
Train Epoch: [1/30] Iters:[150/2187] loss 0.1663, vq_loss 0.0613, rec_loss 0.0525, wasserstein_loss 0.1011, quant_error 0.0780, codebook_utilization 0.7526, codebook_perplexity 979.0300,
Train Epoch: [1/30] Iters:[160/2187] loss 0.1604, vq_loss 0.0585, rec_loss 0.0509, wasserstein_loss 0.0976, quant_error 0.0708, codebook_utilization 0.7743, codebook_perplexity 1045.8997,
Train Epoch: [1/30] Iters:[170/2187] loss 0.1576, vq_loss 0.0591, rec_loss 0.0493, wasserstein_loss 0.0997, quant_error 0.0671, codebook_utilization 0.7914, codebook_perplexity 1097.9903,
Train Epoch: [1/30] Iters:[180/2187] loss 0.1620, vq_loss 0.0652, rec_loss 0.0484, wasserstein_loss 0.1126, quant_error 0.0646, codebook_utilization 0.7960, codebook_perplexity 1115.1176,
Train Epoch: [1/30] Iters:[190/2187] loss 0.1626, vq_loss 0.0681, rec_loss 0.0472, wasserstein_loss 0.1190, quant_error 0.0627, codebook_utilization 0.8023, codebook_perplexity 1137.5977,
Train Epoch: [1/30] Iters:[200/2187] loss 0.1635, vq_loss 0.0701, rec_loss 0.0467, wasserstein_loss 0.1230, quant_error 0.0627, codebook_utilization 0.8167, codebook_perplexity 1168.7051,
Train Epoch: [1/30] Iters:[210/2187] loss 0.1660, vq_loss 0.0745, rec_loss 0.0457, wasserstein_loss 0.1312, quant_error 0.0644, codebook_utilization 0.8195, codebook_perplexity 1177.7299,
Train Epoch: [1/30] Iters:[220/2187] loss 0.1697, vq_loss 0.0795, rec_loss 0.0451, wasserstein_loss 0.1389, quant_error 0.0733, codebook_utilization 0.8146, codebook_perplexity 1148.1730,
Train Epoch: [1/30] Iters:[230/2187] loss 0.1786, vq_loss 0.0914, rec_loss 0.0436, wasserstein_loss 0.1601, quant_error 0.0826, codebook_utilization 0.8129, codebook_perplexity 1129.9800,
Train Epoch: [1/30] Iters:[240/2187] loss 0.1809, vq_loss 0.0970, rec_loss 0.0420, wasserstein_loss 0.1696, quant_error 0.0884, codebook_utilization 0.8108, codebook_perplexity 1122.6656,
Train Epoch: [1/30] Iters:[250/2187] loss 0.1772, vq_loss 0.0972, rec_loss 0.0400, wasserstein_loss 0.1685, quant_error 0.0940, codebook_utilization 0.8099, codebook_perplexity 1122.8253,
Train Epoch: [1/30] Iters:[260/2187] loss 0.1712, vq_loss 0.0949, rec_loss 0.0381, wasserstein_loss 0.1630, quant_error 0.0974, codebook_utilization 0.8125, codebook_perplexity 1123.8280,
Train Epoch: [1/30] Iters:[270/2187] loss 0.1599, vq_loss 0.0876, rec_loss 0.0361, wasserstein_loss 0.1496, quant_error 0.0932, codebook_utilization 0.8239, codebook_perplexity 1172.4428,
Train Epoch: [1/30] Iters:[280/2187] loss 0.1434, vq_loss 0.0750, rec_loss 0.0342, wasserstein_loss 0.1258, quant_error 0.0881, codebook_utilization 0.8352, codebook_perplexity 1221.3338,
Train Epoch: [1/30] Iters:[290/2187] loss 0.1335, vq_loss 0.0667, rec_loss 0.0334, wasserstein_loss 0.1094, quant_error 0.0871, codebook_utilization 0.8461, codebook_perplexity 1256.0893,
Train Epoch: [1/30] Iters:[300/2187] loss 0.1329, vq_loss 0.0673, rec_loss 0.0328, wasserstein_loss 0.1109, quant_error 0.0861, codebook_utilization 0.8555, codebook_perplexity 1286.9751,
Train Epoch: [1/30] Iters:[310/2187] loss 0.1249, vq_loss 0.0606, rec_loss 0.0321, wasserstein_loss 0.0976, quant_error 0.0862, codebook_utilization 0.8625, codebook_perplexity 1311.4600,
Train Epoch: [1/30] Iters:[320/2187] loss 0.1196, vq_loss 0.0563, rec_loss 0.0316, wasserstein_loss 0.0886, quant_error 0.0873, codebook_utilization 0.8670, codebook_perplexity 1320.9420,
Train Epoch: [1/30] Iters:[330/2187] loss 0.1147, vq_loss 0.0523, rec_loss 0.0312, wasserstein_loss 0.0806, quant_error 0.0878, codebook_utilization 0.8710, codebook_perplexity 1328.2334,
Train Epoch: [1/30] Iters:[340/2187] loss 0.1140, vq_loss 0.0524, rec_loss 0.0308, wasserstein_loss 0.0802, quant_error 0.0894, codebook_utilization 0.8754, codebook_perplexity 1339.6295,
Train Epoch: [1/30] Iters:[350/2187] loss 0.1070, vq_loss 0.0468, rec_loss 0.0301, wasserstein_loss 0.0683, quant_error 0.0922, codebook_utilization 0.8783, codebook_perplexity 1340.2013,
Train Epoch: [1/30] Iters:[360/2187] loss 0.1087, vq_loss 0.0493, rec_loss 0.0297, wasserstein_loss 0.0728, quant_error 0.0936, codebook_utilization 0.8773, codebook_perplexity 1338.8084,
Train Epoch: [1/30] Iters:[370/2187] loss 0.1094, vq_loss 0.0519, rec_loss 0.0288, wasserstein_loss 0.0783, quant_error 0.0924, codebook_utilization 0.8780, codebook_perplexity 1341.7159,
Train Epoch: [1/30] Iters:[380/2187] loss 0.1065, vq_loss 0.0490, rec_loss 0.0288, wasserstein_loss 0.0725, quant_error 0.0924, codebook_utilization 0.8783, codebook_perplexity 1350.5381,
Train Epoch: [1/30] Iters:[390/2187] loss 0.1026, vq_loss 0.0461, rec_loss 0.0283, wasserstein_loss 0.0670, quant_error 0.0914, codebook_utilization 0.8804, codebook_perplexity 1359.6762,
Train Epoch: [1/30] Iters:[400/2187] loss 0.1029, vq_loss 0.0472, rec_loss 0.0279, wasserstein_loss 0.0696, quant_error 0.0899, codebook_utilization 0.8805, codebook_perplexity 1368.5851,
Train Epoch: [1/30] Iters:[410/2187] loss 0.1070, vq_loss 0.0517, rec_loss 0.0276, wasserstein_loss 0.0788, quant_error 0.0896, codebook_utilization 0.8823, codebook_perplexity 1371.9005,
Train Epoch: [1/30] Iters:[420/2187] loss 0.1101, vq_loss 0.0542, rec_loss 0.0279, wasserstein_loss 0.0829, quant_error 0.0929, codebook_utilization 0.8854, codebook_perplexity 1376.8820,
Train Epoch: [1/30] Iters:[430/2187] loss 0.1124, vq_loss 0.0575, rec_loss 0.0275, wasserstein_loss 0.0890, quant_error 0.0946, codebook_utilization 0.8906, codebook_perplexity 1387.9055,
