dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_16384_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_30
saver_name_pre: online_quantizer_30_FFHQ_model_16384_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3667, vq_loss 0.0671, rec_loss 0.2996, quant_error 0.2685, codebook_utilization 0.0167, codebook_perplexity 88.0423,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3114, vq_loss 0.0449, rec_loss 0.2665, quant_error 0.1796, codebook_utilization 0.0130, codebook_perplexity 65.6921,
Train Epoch: [1/30] Iters:[30/2187] loss 0.2694, vq_loss 0.0360, rec_loss 0.2334, quant_error 0.1441, codebook_utilization 0.0108, codebook_perplexity 49.9853,
Train Epoch: [1/30] Iters:[40/2187] loss 0.2390, vq_loss 0.0310, rec_loss 0.2080, quant_error 0.1242, codebook_utilization 0.0093, codebook_perplexity 41.4397,
Train Epoch: [1/30] Iters:[50/2187] loss 0.2159, vq_loss 0.0279, rec_loss 0.1880, quant_error 0.1116, codebook_utilization 0.0082, codebook_perplexity 36.2882,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1643, vq_loss 0.0174, rec_loss 0.1469, quant_error 0.0694, codebook_utilization 0.0057, codebook_perplexity 21.8398,
Train Epoch: [1/30] Iters:[70/2187] loss 0.1311, vq_loss 0.0157, rec_loss 0.1154, quant_error 0.0629, codebook_utilization 0.0046, codebook_perplexity 16.1894,
Train Epoch: [1/30] Iters:[80/2187] loss 0.1111, vq_loss 0.0150, rec_loss 0.0962, quant_error 0.0599, codebook_utilization 0.0041, codebook_perplexity 15.6609,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0977, vq_loss 0.0146, rec_loss 0.0831, quant_error 0.0586, codebook_utilization 0.0040, codebook_perplexity 16.1371,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0882, vq_loss 0.0144, rec_loss 0.0738, quant_error 0.0576, codebook_utilization 0.0040, codebook_perplexity 16.5533,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0810, vq_loss 0.0143, rec_loss 0.0668, quant_error 0.0572, codebook_utilization 0.0040, codebook_perplexity 16.8796,
Train Epoch: [1/30] Iters:[120/2187] loss 0.0769, vq_loss 0.0141, rec_loss 0.0628, quant_error 0.0562, codebook_utilization 0.0040, codebook_perplexity 17.4859,
Train Epoch: [1/30] Iters:[130/2187] loss 0.0733, vq_loss 0.0137, rec_loss 0.0596, quant_error 0.0550, codebook_utilization 0.0040, codebook_perplexity 18.1047,
Train Epoch: [1/30] Iters:[140/2187] loss 0.0706, vq_loss 0.0134, rec_loss 0.0572, quant_error 0.0535, codebook_utilization 0.0039, codebook_perplexity 18.3781,
Train Epoch: [1/30] Iters:[150/2187] loss 0.0685, vq_loss 0.0131, rec_loss 0.0555, quant_error 0.0522, codebook_utilization 0.0039, codebook_perplexity 19.0739,
Train Epoch: [1/30] Iters:[160/2187] loss 0.0675, vq_loss 0.0128, rec_loss 0.0547, quant_error 0.0512, codebook_utilization 0.0040, codebook_perplexity 19.9767,
Train Epoch: [1/30] Iters:[170/2187] loss 0.0659, vq_loss 0.0126, rec_loss 0.0533, quant_error 0.0504, codebook_utilization 0.0042, codebook_perplexity 21.4372,
Train Epoch: [1/30] Iters:[180/2187] loss 0.0647, vq_loss 0.0124, rec_loss 0.0523, quant_error 0.0496, codebook_utilization 0.0043, codebook_perplexity 22.6555,
Train Epoch: [1/30] Iters:[190/2187] loss 0.0638, vq_loss 0.0122, rec_loss 0.0516, quant_error 0.0489, codebook_utilization 0.0044, codebook_perplexity 23.9204,
Train Epoch: [1/30] Iters:[200/2187] loss 0.0631, vq_loss 0.0121, rec_loss 0.0510, quant_error 0.0483, codebook_utilization 0.0045, codebook_perplexity 24.8777,
Train Epoch: [1/30] Iters:[210/2187] loss 0.0615, vq_loss 0.0119, rec_loss 0.0496, quant_error 0.0476, codebook_utilization 0.0047, codebook_perplexity 25.9385,
