dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_16384_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_16384_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.5406, vq_loss 0.9545, rec_loss 0.2931, wasserstein_loss 1.2977, quant_error 2.2231, codebook_utilization 0.0410, codebook_perplexity 116.6652,
Train Epoch: [1/30] Iters:[20/2187] loss 1.5620, vq_loss 1.0751, rec_loss 0.2435, wasserstein_loss 1.3836, quant_error 2.7874, codebook_utilization 0.0436, codebook_perplexity 114.9357,
Train Epoch: [1/30] Iters:[30/2187] loss 1.5863, vq_loss 1.1640, rec_loss 0.2112, wasserstein_loss 1.5119, quant_error 2.9673, codebook_utilization 0.0485, codebook_perplexity 133.1489,
Train Epoch: [1/30] Iters:[40/2187] loss 1.4608, vq_loss 1.0845, rec_loss 0.1881, wasserstein_loss 1.4833, quant_error 2.4938, codebook_utilization 0.0580, codebook_perplexity 181.7916,
Train Epoch: [1/30] Iters:[50/2187] loss 1.2986, vq_loss 0.9596, rec_loss 0.1695, wasserstein_loss 1.3387, quant_error 2.1113, codebook_utilization 0.0685, codebook_perplexity 247.4108,
Train Epoch: [1/30] Iters:[60/2187] loss 1.0825, vq_loss 0.8293, rec_loss 0.1266, wasserstein_loss 1.1905, quant_error 1.7024, codebook_utilization 0.0871, codebook_perplexity 357.4794,
Train Epoch: [1/30] Iters:[70/2187] loss 0.8403, vq_loss 0.6366, rec_loss 0.1019, wasserstein_loss 0.9838, quant_error 1.0524, codebook_utilization 0.1171, codebook_perplexity 669.2976,
Train Epoch: [1/30] Iters:[80/2187] loss 0.5689, vq_loss 0.3965, rec_loss 0.0862, wasserstein_loss 0.6809, quant_error 0.4075, codebook_utilization 0.1548, codebook_perplexity 1185.5576,
Train Epoch: [1/30] Iters:[90/2187] loss 0.4056, vq_loss 0.2566, rec_loss 0.0745, wasserstein_loss 0.4545, quant_error 0.2132, codebook_utilization 0.1845, codebook_perplexity 1641.1517,
Train Epoch: [1/30] Iters:[100/2187] loss 0.3171, vq_loss 0.1819, rec_loss 0.0676, wasserstein_loss 0.3324, quant_error 0.1146, codebook_utilization 0.2110, codebook_perplexity 2088.2849,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2630, vq_loss 0.1372, rec_loss 0.0629, wasserstein_loss 0.2487, quant_error 0.0933, codebook_utilization 0.2357, codebook_perplexity 2568.6906,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2231, vq_loss 0.1032, rec_loss 0.0600, wasserstein_loss 0.1826, quant_error 0.0863, codebook_utilization 0.2519, codebook_perplexity 2935.2558,
Train Epoch: [1/30] Iters:[130/2187] loss 0.2015, vq_loss 0.0888, rec_loss 0.0563, wasserstein_loss 0.1560, quant_error 0.0789, codebook_utilization 0.2602, codebook_perplexity 3133.3358,
