dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_50000_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_50000_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.6392, vq_loss 1.0204, rec_loss 0.3094, wasserstein_loss 1.6385, quant_error 1.4630, codebook_utilization 0.0142, codebook_perplexity 159.7048,
Train Epoch: [1/30] Iters:[20/2187] loss 1.6020, vq_loss 1.1104, rec_loss 0.2458, wasserstein_loss 1.5943, quant_error 2.2781, codebook_utilization 0.0194, codebook_perplexity 232.1583,
Train Epoch: [1/30] Iters:[30/2187] loss 1.5188, vq_loss 1.0943, rec_loss 0.2122, wasserstein_loss 1.5020, quant_error 2.4972, codebook_utilization 0.0208, codebook_perplexity 269.5101,
Train Epoch: [1/30] Iters:[40/2187] loss 1.3385, vq_loss 0.9662, rec_loss 0.1862, wasserstein_loss 1.3929, quant_error 1.9618, codebook_utilization 0.0241, codebook_perplexity 358.4640,
Train Epoch: [1/30] Iters:[50/2187] loss 1.1797, vq_loss 0.8459, rec_loss 0.1669, wasserstein_loss 1.2500, quant_error 1.6065, codebook_utilization 0.0291, codebook_perplexity 515.3382,
Train Epoch: [1/30] Iters:[60/2187] loss 0.9338, vq_loss 0.6910, rec_loss 0.1214, wasserstein_loss 1.0098, quant_error 1.3536, codebook_utilization 0.0421, codebook_perplexity 988.5344,
Train Epoch: [1/30] Iters:[70/2187] loss 0.6833, vq_loss 0.4850, rec_loss 0.0991, wasserstein_loss 0.7597, quant_error 0.7648, codebook_utilization 0.0563, codebook_perplexity 1646.0444,
Train Epoch: [1/30] Iters:[80/2187] loss 0.4595, vq_loss 0.2939, rec_loss 0.0828, wasserstein_loss 0.5333, quant_error 0.1984, codebook_utilization 0.0712, codebook_perplexity 2331.1130,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3447, vq_loss 0.1986, rec_loss 0.0730, wasserstein_loss 0.3576, quant_error 0.1442, codebook_utilization 0.0846, codebook_perplexity 3013.9000,
Train Epoch: [1/30] Iters:[100/2187] loss 0.2771, vq_loss 0.1431, rec_loss 0.0670, wasserstein_loss 0.2525, quant_error 0.1227, codebook_utilization 0.0970, codebook_perplexity 3711.2589,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2353, vq_loss 0.1120, rec_loss 0.0616, wasserstein_loss 0.1973, quant_error 0.0971, codebook_utilization 0.1048, codebook_perplexity 4231.1353,
