dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 1024
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: vanilla_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_1024_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_quantizer_30
saver_name_pre: vanilla_quantizer_30_FFHQ_model_1024_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3967, vq_loss 0.0903, rec_loss 0.3064, quant_error 0.3611, codebook_utilization 0.1997, codebook_perplexity 59.4287,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3541, vq_loss 0.0615, rec_loss 0.2926, quant_error 0.2458, codebook_utilization 0.1919, codebook_perplexity 59.0292,
Train Epoch: [1/30] Iters:[30/2187] loss 0.3563, vq_loss 0.0727, rec_loss 0.2836, quant_error 0.2909, codebook_utilization 0.1647, codebook_perplexity 43.8687,
Train Epoch: [1/30] Iters:[40/2187] loss 0.5236, vq_loss 0.2458, rec_loss 0.2778, quant_error 0.9831, codebook_utilization 0.1396, codebook_perplexity 34.4773,
Train Epoch: [1/30] Iters:[50/2187] loss 1.3101, vq_loss 1.0367, rec_loss 0.2735, quant_error 4.1467, codebook_utilization 0.1204, codebook_perplexity 28.2756,
Train Epoch: [1/30] Iters:[60/2187] loss 2.5817, vq_loss 2.3184, rec_loss 0.2633, quant_error 9.2736, codebook_utilization 0.0875, codebook_perplexity 17.0599,
Train Epoch: [1/30] Iters:[70/2187] loss 3.0729, vq_loss 2.8168, rec_loss 0.2561, quant_error 11.2672, codebook_utilization 0.0576, codebook_perplexity 6.2067,
Train Epoch: [1/30] Iters:[80/2187] loss 3.5668, vq_loss 3.3194, rec_loss 0.2474, quant_error 13.2774, codebook_utilization 0.0413, codebook_perplexity 4.3594,
Train Epoch: [1/30] Iters:[90/2187] loss 4.9017, vq_loss 4.6629, rec_loss 0.2388, quant_error 18.6514, codebook_utilization 0.0339, codebook_perplexity 3.9079,
Train Epoch: [1/30] Iters:[100/2187] loss 6.2260, vq_loss 6.0002, rec_loss 0.2257, quant_error 24.0009, codebook_utilization 0.0299, codebook_perplexity 4.0408,
Train Epoch: [1/30] Iters:[110/2187] loss 7.8733, vq_loss 7.6636, rec_loss 0.2097, quant_error 30.6543, codebook_utilization 0.0275, codebook_perplexity 4.1860,
Train Epoch: [1/30] Iters:[120/2187] loss 10.9273, vq_loss 10.7331, rec_loss 0.1942, quant_error 42.9323, codebook_utilization 0.0248, codebook_perplexity 4.1267,
Train Epoch: [1/30] Iters:[130/2187] loss 13.5784, vq_loss 13.3953, rec_loss 0.1832, quant_error 53.5811, codebook_utilization 0.0233, codebook_perplexity 4.1013,
Train Epoch: [1/30] Iters:[140/2187] loss 14.9974, vq_loss 14.8270, rec_loss 0.1704, quant_error 59.3078, codebook_utilization 0.0223, codebook_perplexity 4.1192,
Train Epoch: [1/30] Iters:[150/2187] loss 16.0885, vq_loss 15.9255, rec_loss 0.1630, quant_error 63.7021, codebook_utilization 0.0217, codebook_perplexity 4.0883,
Train Epoch: [1/30] Iters:[160/2187] loss 15.7463, vq_loss 15.5905, rec_loss 0.1559, quant_error 62.3618, codebook_utilization 0.0213, codebook_perplexity 4.0640,
Train Epoch: [1/30] Iters:[170/2187] loss 14.3251, vq_loss 14.1746, rec_loss 0.1505, quant_error 56.6984, codebook_utilization 0.0213, codebook_perplexity 4.0342,
Train Epoch: [1/30] Iters:[180/2187] loss 14.0236, vq_loss 13.8789, rec_loss 0.1447, quant_error 55.5158, codebook_utilization 0.0208, codebook_perplexity 3.9078,
Train Epoch: [1/30] Iters:[190/2187] loss 13.8077, vq_loss 13.6668, rec_loss 0.1409, quant_error 54.6673, codebook_utilization 0.0199, codebook_perplexity 3.7957,
Train Epoch: [1/30] Iters:[200/2187] loss 12.9883, vq_loss 12.8543, rec_loss 0.1340, quant_error 51.4173, codebook_utilization 0.0192, codebook_perplexity 3.7003,
Train Epoch: [1/30] Iters:[210/2187] loss 12.4923, vq_loss 12.3616, rec_loss 0.1307, quant_error 49.4462, codebook_utilization 0.0185, codebook_perplexity 3.6259,
Train Epoch: [1/30] Iters:[220/2187] loss 12.3800, vq_loss 12.2548, rec_loss 0.1252, quant_error 49.0192, codebook_utilization 0.0174, codebook_perplexity 3.5364,
Train Epoch: [1/30] Iters:[230/2187] loss 10.6491, vq_loss 10.5254, rec_loss 0.1237, quant_error 42.1014, codebook_utilization 0.0167, codebook_perplexity 3.5413,
Train Epoch: [1/30] Iters:[240/2187] loss 10.2907, vq_loss 10.1719, rec_loss 0.1188, quant_error 40.6875, codebook_utilization 0.0159, codebook_perplexity 3.4731,
Train Epoch: [1/30] Iters:[250/2187] loss 10.0058, vq_loss 9.8903, rec_loss 0.1155, quant_error 39.5610, codebook_utilization 0.0156, codebook_perplexity 3.4467,
Train Epoch: [1/30] Iters:[260/2187] loss 9.5043, vq_loss 9.3926, rec_loss 0.1117, quant_error 37.5704, codebook_utilization 0.0150, codebook_perplexity 3.4762,
Train Epoch: [1/30] Iters:[270/2187] loss 8.9559, vq_loss 8.8457, rec_loss 0.1102, quant_error 35.3828, codebook_utilization 0.0147, codebook_perplexity 3.5134,
Train Epoch: [1/30] Iters:[280/2187] loss 9.3897, vq_loss 9.2863, rec_loss 0.1033, quant_error 37.1452, codebook_utilization 0.0144, codebook_perplexity 3.5115,
Train Epoch: [1/30] Iters:[290/2187] loss 8.4238, vq_loss 8.3235, rec_loss 0.1004, quant_error 33.2939, codebook_utilization 0.0144, codebook_perplexity 3.6181,
Train Epoch: [1/30] Iters:[300/2187] loss 7.3022, vq_loss 7.2021, rec_loss 0.1001, quant_error 28.8084, codebook_utilization 0.0139, codebook_perplexity 3.6991,
Train Epoch: [1/30] Iters:[310/2187] loss 7.3279, vq_loss 7.2307, rec_loss 0.0972, quant_error 28.9229, codebook_utilization 0.0136, codebook_perplexity 3.7073,
Train Epoch: [1/30] Iters:[320/2187] loss 7.2079, vq_loss 7.1131, rec_loss 0.0948, quant_error 28.4526, codebook_utilization 0.0133, codebook_perplexity 3.7525,
Train Epoch: [1/30] Iters:[330/2187] loss 6.7688, vq_loss 6.6741, rec_loss 0.0947, quant_error 26.6966, codebook_utilization 0.0131, codebook_perplexity 3.8151,
Train Epoch: [1/30] Iters:[340/2187] loss 6.5005, vq_loss 6.4078, rec_loss 0.0927, quant_error 25.6312, codebook_utilization 0.0130, codebook_perplexity 3.8537,
Train Epoch: [1/30] Iters:[350/2187] loss 6.4875, vq_loss 6.3970, rec_loss 0.0904, quant_error 25.5882, codebook_utilization 0.0129, codebook_perplexity 3.8882,
Train Epoch: [1/30] Iters:[360/2187] loss 5.7082, vq_loss 5.6175, rec_loss 0.0907, quant_error 22.4702, codebook_utilization 0.0128, codebook_perplexity 3.9545,
Train Epoch: [1/30] Iters:[370/2187] loss 5.6426, vq_loss 5.5529, rec_loss 0.0897, quant_error 22.2117, codebook_utilization 0.0127, codebook_perplexity 4.0063,
Train Epoch: [1/30] Iters:[380/2187] loss 5.9965, vq_loss 5.9074, rec_loss 0.0891, quant_error 23.6296, codebook_utilization 0.0127, codebook_perplexity 4.0913,
Train Epoch: [1/30] Iters:[390/2187] loss 6.0784, vq_loss 5.9896, rec_loss 0.0888, quant_error 23.9584, codebook_utilization 0.0127, codebook_perplexity 4.0861,
Train Epoch: [1/30] Iters:[400/2187] loss 6.1145, vq_loss 6.0268, rec_loss 0.0877, quant_error 24.1072, codebook_utilization 0.0126, codebook_perplexity 4.1762,
Train Epoch: [1/30] Iters:[410/2187] loss 5.8789, vq_loss 5.7926, rec_loss 0.0864, quant_error 23.1702, codebook_utilization 0.0125, codebook_perplexity 4.2450,
Train Epoch: [1/30] Iters:[420/2187] loss 5.5832, vq_loss 5.4981, rec_loss 0.0851, quant_error 21.9924, codebook_utilization 0.0126, codebook_perplexity 4.2908,
Train Epoch: [1/30] Iters:[430/2187] loss 4.6194, vq_loss 4.5368, rec_loss 0.0827, quant_error 18.1471, codebook_utilization 0.0125, codebook_perplexity 4.3549,
Train Epoch: [1/30] Iters:[440/2187] loss 3.8683, vq_loss 3.7834, rec_loss 0.0848, quant_error 15.1337, codebook_utilization 0.0125, codebook_perplexity 4.4352,
Train Epoch: [1/30] Iters:[450/2187] loss 3.5920, vq_loss 3.5068, rec_loss 0.0852, quant_error 14.0271, codebook_utilization 0.0125, codebook_perplexity 4.4190,
Train Epoch: [1/30] Iters:[460/2187] loss 3.7745, vq_loss 3.6906, rec_loss 0.0840, quant_error 14.7623, codebook_utilization 0.0125, codebook_perplexity 4.4591,
Train Epoch: [1/30] Iters:[470/2187] loss 3.2706, vq_loss 3.1870, rec_loss 0.0836, quant_error 12.7479, codebook_utilization 0.0124, codebook_perplexity 4.4717,
Train Epoch: [1/30] Iters:[480/2187] loss 3.1144, vq_loss 3.0309, rec_loss 0.0835, quant_error 12.1237, codebook_utilization 0.0125, codebook_perplexity 4.4132,
Train Epoch: [1/30] Iters:[490/2187] loss 3.1534, vq_loss 3.0734, rec_loss 0.0799, quant_error 12.2937, codebook_utilization 0.0125, codebook_perplexity 4.4480,
