dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: ema_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_50000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_quantizer_30
saver_name_pre: ema_quantizer_30_FFHQ_model_50000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.2922, vq_loss 0.0130, rec_loss 0.2792, quant_error 0.1041, codebook_utilization 0.0218, codebook_perplexity 350.6216,
Train Epoch: [1/30] Iters:[20/2187] loss 0.2219, vq_loss 0.0085, rec_loss 0.2134, quant_error 0.0682, codebook_utilization 0.0409, codebook_perplexity 946.8205,
Train Epoch: [1/30] Iters:[30/2187] loss 0.1916, vq_loss 0.0064, rec_loss 0.1852, quant_error 0.0514, codebook_utilization 0.0461, codebook_perplexity 1210.1643,
Train Epoch: [1/30] Iters:[40/2187] loss 0.1677, vq_loss 0.0053, rec_loss 0.1625, quant_error 0.0422, codebook_utilization 0.0484, codebook_perplexity 1336.7395,
Train Epoch: [1/30] Iters:[50/2187] loss 0.1506, vq_loss 0.0045, rec_loss 0.1461, quant_error 0.0360, codebook_utilization 0.0496, codebook_perplexity 1418.1768,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1066, vq_loss 0.0022, rec_loss 0.1045, quant_error 0.0173, codebook_utilization 0.0563, codebook_perplexity 1709.5186,
Train Epoch: [1/30] Iters:[70/2187] loss 0.0904, vq_loss 0.0016, rec_loss 0.0888, quant_error 0.0128, codebook_utilization 0.0559, codebook_perplexity 1779.7301,
Train Epoch: [1/30] Iters:[80/2187] loss 0.0769, vq_loss 0.0014, rec_loss 0.0755, quant_error 0.0109, codebook_utilization 0.0563, codebook_perplexity 1817.6948,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0689, vq_loss 0.0012, rec_loss 0.0677, quant_error 0.0094, codebook_utilization 0.0569, codebook_perplexity 1854.3829,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0642, vq_loss 0.0010, rec_loss 0.0632, quant_error 0.0083, codebook_utilization 0.0578, codebook_perplexity 1897.4891,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0602, vq_loss 0.0009, rec_loss 0.0593, quant_error 0.0073, codebook_utilization 0.0587, codebook_perplexity 1935.0956,
Train Epoch: [1/30] Iters:[120/2187] loss 0.0567, vq_loss 0.0008, rec_loss 0.0559, quant_error 0.0064, codebook_utilization 0.0589, codebook_perplexity 1943.8978,
Train Epoch: [1/30] Iters:[130/2187] loss 0.0543, vq_loss 0.0007, rec_loss 0.0535, quant_error 0.0058, codebook_utilization 0.0590, codebook_perplexity 1953.6974,
