dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 8192
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: vanilla_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_8192_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_quantizer_30
saver_name_pre: vanilla_quantizer_30_FFHQ_model_8192_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3803, vq_loss 0.0757, rec_loss 0.3046, quant_error 0.3027, codebook_utilization 0.0212, codebook_perplexity 53.6423,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3457, vq_loss 0.0564, rec_loss 0.2893, quant_error 0.2256, codebook_utilization 0.0180, codebook_perplexity 42.1225,
Train Epoch: [1/30] Iters:[30/2187] loss 0.3331, vq_loss 0.0540, rec_loss 0.2790, quant_error 0.2161, codebook_utilization 0.0154, codebook_perplexity 33.8887,
Train Epoch: [1/30] Iters:[40/2187] loss 0.3482, vq_loss 0.0695, rec_loss 0.2786, quant_error 0.2781, codebook_utilization 0.0135, codebook_perplexity 27.7925,
Train Epoch: [1/30] Iters:[50/2187] loss 0.4609, vq_loss 0.1855, rec_loss 0.2754, quant_error 0.7419, codebook_utilization 0.0119, codebook_perplexity 23.2317,
Train Epoch: [1/30] Iters:[60/2187] loss 1.1989, vq_loss 0.9321, rec_loss 0.2668, quant_error 3.7284, codebook_utilization 0.0085, codebook_perplexity 13.0997,
Train Epoch: [1/30] Iters:[70/2187] loss 1.6744, vq_loss 1.4122, rec_loss 0.2622, quant_error 5.6487, codebook_utilization 0.0064, codebook_perplexity 7.5789,
Train Epoch: [1/30] Iters:[80/2187] loss 2.0529, vq_loss 1.7948, rec_loss 0.2581, quant_error 7.1793, codebook_utilization 0.0051, codebook_perplexity 4.6463,
Train Epoch: [1/30] Iters:[90/2187] loss 3.1579, vq_loss 2.9092, rec_loss 0.2487, quant_error 11.6368, codebook_utilization 0.0041, codebook_perplexity 3.2445,
Train Epoch: [1/30] Iters:[100/2187] loss 4.9596, vq_loss 4.7226, rec_loss 0.2369, quant_error 18.8905, codebook_utilization 0.0036, codebook_perplexity 2.7265,
Train Epoch: [1/30] Iters:[110/2187] loss 6.4673, vq_loss 6.2448, rec_loss 0.2225, quant_error 24.9790, codebook_utilization 0.0033, codebook_perplexity 2.6186,
Train Epoch: [1/30] Iters:[120/2187] loss 8.3525, vq_loss 8.1457, rec_loss 0.2068, quant_error 32.5828, codebook_utilization 0.0030, codebook_perplexity 2.5280,
Train Epoch: [1/30] Iters:[130/2187] loss 10.4005, vq_loss 10.2074, rec_loss 0.1931, quant_error 40.8297, codebook_utilization 0.0027, codebook_perplexity 2.5086,
Train Epoch: [1/30] Iters:[140/2187] loss 12.5942, vq_loss 12.4153, rec_loss 0.1789, quant_error 49.6613, codebook_utilization 0.0025, codebook_perplexity 2.5389,
Train Epoch: [1/30] Iters:[150/2187] loss 13.8827, vq_loss 13.7122, rec_loss 0.1705, quant_error 54.8488, codebook_utilization 0.0023, codebook_perplexity 2.6174,
Train Epoch: [1/30] Iters:[160/2187] loss 14.3343, vq_loss 14.1720, rec_loss 0.1623, quant_error 56.6880, codebook_utilization 0.0021, codebook_perplexity 2.6963,
