dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_4096_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_30
saver_name_pre: online_quantizer_30_FFHQ_model_4096_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3815, vq_loss 0.0612, rec_loss 0.3202, quant_error 0.2449, codebook_utilization 0.0587, codebook_perplexity 62.0737,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3147, vq_loss 0.0417, rec_loss 0.2730, quant_error 0.1670, codebook_utilization 0.0464, codebook_perplexity 43.3128,
Train Epoch: [1/30] Iters:[30/2187] loss 0.2653, vq_loss 0.0334, rec_loss 0.2319, quant_error 0.1335, codebook_utilization 0.0386, codebook_perplexity 33.3666,
Train Epoch: [1/30] Iters:[40/2187] loss 0.2361, vq_loss 0.0289, rec_loss 0.2072, quant_error 0.1158, codebook_utilization 0.0332, codebook_perplexity 28.0572,
Train Epoch: [1/30] Iters:[50/2187] loss 0.2132, vq_loss 0.0261, rec_loss 0.1871, quant_error 0.1042, codebook_utilization 0.0293, codebook_perplexity 24.7050,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1557, vq_loss 0.0168, rec_loss 0.1389, quant_error 0.0674, codebook_utilization 0.0201, codebook_perplexity 14.6874,
Train Epoch: [1/30] Iters:[70/2187] loss 0.1234, vq_loss 0.0153, rec_loss 0.1081, quant_error 0.0613, codebook_utilization 0.0160, codebook_perplexity 12.1934,
Train Epoch: [1/30] Iters:[80/2187] loss 0.1071, vq_loss 0.0149, rec_loss 0.0921, quant_error 0.0597, codebook_utilization 0.0140, codebook_perplexity 11.8968,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0941, vq_loss 0.0148, rec_loss 0.0792, quant_error 0.0594, codebook_utilization 0.0134, codebook_perplexity 12.2377,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0851, vq_loss 0.0149, rec_loss 0.0702, quant_error 0.0597, codebook_utilization 0.0136, codebook_perplexity 12.9880,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0805, vq_loss 0.0148, rec_loss 0.0658, quant_error 0.0590, codebook_utilization 0.0141, codebook_perplexity 13.6113,
