dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 1
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_4096_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_4096_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.7889, vq_loss 1.1071, rec_loss 0.3409, wasserstein_loss 1.8556, quant_error 1.3037, codebook_utilization 0.0583, codebook_perplexity 47.7013,
Train Epoch: [1/30] Iters:[20/2187] loss 1.8191, vq_loss 1.2822, rec_loss 0.2684, wasserstein_loss 1.8445, quant_error 2.6175, codebook_utilization 0.0799, codebook_perplexity 52.0966,
Train Epoch: [1/30] Iters:[30/2187] loss 1.7621, vq_loss 1.3034, rec_loss 0.2293, wasserstein_loss 1.8078, quant_error 2.9056, codebook_utilization 0.0948, codebook_perplexity 68.6763,
Train Epoch: [1/30] Iters:[40/2187] loss 1.5505, vq_loss 1.1411, rec_loss 0.2047, wasserstein_loss 1.6571, quant_error 2.2733, codebook_utilization 0.1139, codebook_perplexity 89.4313,
Train Epoch: [1/30] Iters:[50/2187] loss 1.3687, vq_loss 1.0012, rec_loss 0.1837, wasserstein_loss 1.4962, quant_error 1.8410, codebook_utilization 0.1419, codebook_perplexity 120.8658,
Train Epoch: [1/30] Iters:[60/2187] loss 1.0848, vq_loss 0.8192, rec_loss 0.1328, wasserstein_loss 1.1985, quant_error 1.5995, codebook_utilization 0.2205, codebook_perplexity 291.1652,
Train Epoch: [1/30] Iters:[70/2187] loss 0.7843, vq_loss 0.5692, rec_loss 0.1075, wasserstein_loss 0.9095, quant_error 0.8328, codebook_utilization 0.3046, codebook_perplexity 528.7654,
Train Epoch: [1/30] Iters:[80/2187] loss 0.5088, vq_loss 0.3278, rec_loss 0.0905, wasserstein_loss 0.6136, quant_error 0.1522, codebook_utilization 0.3878, codebook_perplexity 775.2529,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3668, vq_loss 0.2128, rec_loss 0.0770, wasserstein_loss 0.4004, quant_error 0.0915, codebook_utilization 0.4673, codebook_perplexity 1033.0278,
Train Epoch: [1/30] Iters:[100/2187] loss 0.2757, vq_loss 0.1391, rec_loss 0.0683, wasserstein_loss 0.2556, quant_error 0.0821, codebook_utilization 0.5345, codebook_perplexity 1294.8864,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2445, vq_loss 0.1202, rec_loss 0.0622, wasserstein_loss 0.2198, quant_error 0.0746, codebook_utilization 0.5572, codebook_perplexity 1411.0916,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2119, vq_loss 0.0937, rec_loss 0.0591, wasserstein_loss 0.1695, quant_error 0.0651, codebook_utilization 0.5723, codebook_perplexity 1495.0029,
Train Epoch: [1/30] Iters:[130/2187] loss 0.1911, vq_loss 0.0784, rec_loss 0.0564, wasserstein_loss 0.1403, quant_error 0.0597, codebook_utilization 0.5870, codebook_perplexity 1580.6392,
Train Epoch: [1/30] Iters:[140/2187] loss 0.1842, vq_loss 0.0750, rec_loss 0.0546, wasserstein_loss 0.1345, quant_error 0.0561, codebook_utilization 0.5998, codebook_perplexity 1656.5430,
Train Epoch: [1/30] Iters:[150/2187] loss 0.1807, vq_loss 0.0739, rec_loss 0.0534, wasserstein_loss 0.1331, quant_error 0.0531, codebook_utilization 0.6090, codebook_perplexity 1716.4255,
Train Epoch: [1/30] Iters:[160/2187] loss 0.1804, vq_loss 0.0749, rec_loss 0.0527, wasserstein_loss 0.1357, quant_error 0.0511, codebook_utilization 0.6227, codebook_perplexity 1785.4193,
Train Epoch: [1/30] Iters:[170/2187] loss 0.1762, vq_loss 0.0734, rec_loss 0.0514, wasserstein_loss 0.1329, quant_error 0.0502, codebook_utilization 0.6307, codebook_perplexity 1832.4095,
Train Epoch: [1/30] Iters:[180/2187] loss 0.1776, vq_loss 0.0773, rec_loss 0.0501, wasserstein_loss 0.1407, quant_error 0.0510, codebook_utilization 0.6382, codebook_perplexity 1865.4644,
Train Epoch: [1/30] Iters:[190/2187] loss 0.1747, vq_loss 0.0790, rec_loss 0.0478, wasserstein_loss 0.1437, quant_error 0.0524, codebook_utilization 0.6449, codebook_perplexity 1895.5270,
Train Epoch: [1/30] Iters:[200/2187] loss 0.1718, vq_loss 0.0787, rec_loss 0.0465, wasserstein_loss 0.1423, quant_error 0.0548, codebook_utilization 0.6522, codebook_perplexity 1931.9605,
Train Epoch: [1/30] Iters:[210/2187] loss 0.1595, vq_loss 0.0702, rec_loss 0.0447, wasserstein_loss 0.1246, quant_error 0.0573, codebook_utilization 0.6596, codebook_perplexity 1978.2222,
