dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: ema_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_100000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_quantizer_30
saver_name_pre: ema_quantizer_30_FFHQ_model_100000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.2828, vq_loss 0.0111, rec_loss 0.2716, quant_error 0.0891, codebook_utilization 0.0213, codebook_perplexity 793.7421,
Train Epoch: [1/30] Iters:[20/2187] loss 0.2158, vq_loss 0.0072, rec_loss 0.2086, quant_error 0.0577, codebook_utilization 0.0262, codebook_perplexity 1247.3601,
Train Epoch: [1/30] Iters:[30/2187] loss 0.1861, vq_loss 0.0055, rec_loss 0.1807, quant_error 0.0437, codebook_utilization 0.0262, codebook_perplexity 1338.3223,
Train Epoch: [1/30] Iters:[40/2187] loss 0.1638, vq_loss 0.0045, rec_loss 0.1593, quant_error 0.0357, codebook_utilization 0.0261, codebook_perplexity 1396.0926,
Train Epoch: [1/30] Iters:[50/2187] loss 0.1461, vq_loss 0.0038, rec_loss 0.1423, quant_error 0.0307, codebook_utilization 0.0262, codebook_perplexity 1440.2374,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1074, vq_loss 0.0019, rec_loss 0.1055, quant_error 0.0152, codebook_utilization 0.0273, codebook_perplexity 1583.8653,
Train Epoch: [1/30] Iters:[70/2187] loss 0.0919, vq_loss 0.0016, rec_loss 0.0903, quant_error 0.0125, codebook_utilization 0.0261, codebook_perplexity 1493.2990,
Train Epoch: [1/30] Iters:[80/2187] loss 0.0798, vq_loss 0.0014, rec_loss 0.0784, quant_error 0.0112, codebook_utilization 0.0260, codebook_perplexity 1458.5302,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0728, vq_loss 0.0012, rec_loss 0.0716, quant_error 0.0100, codebook_utilization 0.0259, codebook_perplexity 1466.2736,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0688, vq_loss 0.0011, rec_loss 0.0677, quant_error 0.0088, codebook_utilization 0.0259, codebook_perplexity 1476.9811,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0616, vq_loss 0.0009, rec_loss 0.0607, quant_error 0.0074, codebook_utilization 0.0258, codebook_perplexity 1527.3981,
Train Epoch: [1/30] Iters:[120/2187] loss 0.0583, vq_loss 0.0007, rec_loss 0.0576, quant_error 0.0058, codebook_utilization 0.0262, codebook_perplexity 1623.6303,
Train Epoch: [1/30] Iters:[130/2187] loss 0.0551, vq_loss 0.0006, rec_loss 0.0546, quant_error 0.0047, codebook_utilization 0.0267, codebook_perplexity 1716.1585,
Train Epoch: [1/30] Iters:[140/2187] loss 0.0520, vq_loss 0.0005, rec_loss 0.0514, quant_error 0.0043, codebook_utilization 0.0272, codebook_perplexity 1779.4642,
Train Epoch: [1/30] Iters:[150/2187] loss 0.0505, vq_loss 0.0005, rec_loss 0.0500, quant_error 0.0040, codebook_utilization 0.0276, codebook_perplexity 1816.8635,
Train Epoch: [1/30] Iters:[160/2187] loss 0.0490, vq_loss 0.0005, rec_loss 0.0485, quant_error 0.0039, codebook_utilization 0.0280, codebook_perplexity 1851.3044,
Train Epoch: [1/30] Iters:[170/2187] loss 0.0463, vq_loss 0.0005, rec_loss 0.0459, quant_error 0.0038, codebook_utilization 0.0284, codebook_perplexity 1900.8842,
Train Epoch: [1/30] Iters:[180/2187] loss 0.0449, vq_loss 0.0005, rec_loss 0.0444, quant_error 0.0037, codebook_utilization 0.0288, codebook_perplexity 1953.9280,
Train Epoch: [1/30] Iters:[190/2187] loss 0.0439, vq_loss 0.0005, rec_loss 0.0434, quant_error 0.0038, codebook_utilization 0.0288, codebook_perplexity 1952.8361,
Train Epoch: [1/30] Iters:[200/2187] loss 0.0423, vq_loss 0.0005, rec_loss 0.0418, quant_error 0.0038, codebook_utilization 0.0289, codebook_perplexity 1968.5494,
Train Epoch: [1/30] Iters:[210/2187] loss 0.0408, vq_loss 0.0005, rec_loss 0.0404, quant_error 0.0036, codebook_utilization 0.0289, codebook_perplexity 1976.3120,
Train Epoch: [1/30] Iters:[220/2187] loss 0.0396, vq_loss 0.0004, rec_loss 0.0392, quant_error 0.0035, codebook_utilization 0.0290, codebook_perplexity 2000.2143,
Train Epoch: [1/30] Iters:[230/2187] loss 0.0382, vq_loss 0.0004, rec_loss 0.0378, quant_error 0.0034, codebook_utilization 0.0289, codebook_perplexity 1999.8985,
Train Epoch: [1/30] Iters:[240/2187] loss 0.0371, vq_loss 0.0004, rec_loss 0.0367, quant_error 0.0032, codebook_utilization 0.0289, codebook_perplexity 2006.8875,
Train Epoch: [1/30] Iters:[250/2187] loss 0.0359, vq_loss 0.0004, rec_loss 0.0355, quant_error 0.0030, codebook_utilization 0.0288, codebook_perplexity 1999.7851,
Train Epoch: [1/30] Iters:[260/2187] loss 0.0350, vq_loss 0.0004, rec_loss 0.0346, quant_error 0.0029, codebook_utilization 0.0287, codebook_perplexity 2001.7544,
Train Epoch: [1/30] Iters:[270/2187] loss 0.0347, vq_loss 0.0004, rec_loss 0.0344, quant_error 0.0028, codebook_utilization 0.0287, codebook_perplexity 2000.1800,
Train Epoch: [1/30] Iters:[280/2187] loss 0.0340, vq_loss 0.0003, rec_loss 0.0336, quant_error 0.0027, codebook_utilization 0.0286, codebook_perplexity 1999.7299,
Train Epoch: [1/30] Iters:[290/2187] loss 0.0333, vq_loss 0.0003, rec_loss 0.0330, quant_error 0.0026, codebook_utilization 0.0288, codebook_perplexity 2032.0488,
Train Epoch: [1/30] Iters:[300/2187] loss 0.0330, vq_loss 0.0003, rec_loss 0.0327, quant_error 0.0026, codebook_utilization 0.0288, codebook_perplexity 2058.7050,
Train Epoch: [1/30] Iters:[310/2187] loss 0.0324, vq_loss 0.0003, rec_loss 0.0321, quant_error 0.0026, codebook_utilization 0.0287, codebook_perplexity 2065.1272,
Train Epoch: [1/30] Iters:[320/2187] loss 0.0318, vq_loss 0.0003, rec_loss 0.0315, quant_error 0.0025, codebook_utilization 0.0288, codebook_perplexity 2065.7141,
Train Epoch: [1/30] Iters:[330/2187] loss 0.0330, vq_loss 0.0003, rec_loss 0.0327, quant_error 0.0027, codebook_utilization 0.0286, codebook_perplexity 2034.5704,
Train Epoch: [1/30] Iters:[340/2187] loss 0.0330, vq_loss 0.0004, rec_loss 0.0326, quant_error 0.0029, codebook_utilization 0.0281, codebook_perplexity 1944.0759,
