dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_100000_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_100000_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.5505, vq_loss 0.9659, rec_loss 0.2923, wasserstein_loss 1.5749, quant_error 1.2979, codebook_utilization 0.0093, codebook_perplexity 204.9831,
Train Epoch: [1/30] Iters:[20/2187] loss 1.4137, vq_loss 0.9508, rec_loss 0.2315, wasserstein_loss 1.4253, quant_error 1.7319, codebook_utilization 0.0156, codebook_perplexity 484.7352,
Train Epoch: [1/30] Iters:[30/2187] loss 1.3681, vq_loss 0.9654, rec_loss 0.2013, wasserstein_loss 1.4285, quant_error 1.8269, codebook_utilization 0.0177, codebook_perplexity 614.1814,
Train Epoch: [1/30] Iters:[40/2187] loss 1.2103, vq_loss 0.8501, rec_loss 0.1801, wasserstein_loss 1.3012, quant_error 1.4507, codebook_utilization 0.0206, codebook_perplexity 821.1001,
Train Epoch: [1/30] Iters:[50/2187] loss 1.0579, vq_loss 0.7304, rec_loss 0.1638, wasserstein_loss 1.1235, quant_error 1.2262, codebook_utilization 0.0239, codebook_perplexity 1100.9073,
Train Epoch: [1/30] Iters:[60/2187] loss 0.8185, vq_loss 0.5767, rec_loss 0.1209, wasserstein_loss 0.8734, quant_error 1.0186, codebook_utilization 0.0304, codebook_perplexity 1602.8463,
Train Epoch: [1/30] Iters:[70/2187] loss 0.6391, vq_loss 0.4385, rec_loss 0.1003, wasserstein_loss 0.7081, quant_error 0.6138, codebook_utilization 0.0352, codebook_perplexity 2102.1164,
Train Epoch: [1/30] Iters:[80/2187] loss 0.4360, vq_loss 0.2672, rec_loss 0.0844, wasserstein_loss 0.4697, quant_error 0.2357, codebook_utilization 0.0414, codebook_perplexity 2787.5009,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3321, vq_loss 0.1863, rec_loss 0.0729, wasserstein_loss 0.3194, quant_error 0.1933, codebook_utilization 0.0469, codebook_perplexity 3439.8997,
Train Epoch: [1/30] Iters:[100/2187] loss 0.2854, vq_loss 0.1557, rec_loss 0.0649, wasserstein_loss 0.2700, quant_error 0.1500, codebook_utilization 0.0512, codebook_perplexity 3994.7069,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2549, vq_loss 0.1330, rec_loss 0.0610, wasserstein_loss 0.2333, quant_error 0.1188, codebook_utilization 0.0548, codebook_perplexity 4496.5808,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2174, vq_loss 0.1007, rec_loss 0.0583, wasserstein_loss 0.1714, quant_error 0.1095, codebook_utilization 0.0581, codebook_perplexity 4939.6406,
Train Epoch: [1/30] Iters:[130/2187] loss 0.2060, vq_loss 0.0931, rec_loss 0.0565, wasserstein_loss 0.1581, quant_error 0.1023, codebook_utilization 0.0601, codebook_perplexity 5208.4452,
Train Epoch: [1/30] Iters:[140/2187] loss 0.1998, vq_loss 0.0920, rec_loss 0.0539, wasserstein_loss 0.1571, quant_error 0.0976, codebook_utilization 0.0617, codebook_perplexity 5425.8655,
