dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_15
saver_name_pre: wasserstein_vq_refinement_False_15_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss -2.2669, rec_loss 0.0240, lpips_loss 0.1984, g_loss -0.2615, disc_weight 0.4000, disc_adaptive_weight 10.1100, d_loss 2.3252, logits_real 0.3270, logits_fake 0.2557,
Train Epoch: [1/15] Iters:[20/20018] gen_loss -2.2528, rec_loss 0.0246, lpips_loss 0.1960, g_loss -0.2835, disc_weight 0.4000, disc_adaptive_weight 9.1752, d_loss 2.0977, logits_real 0.3243, logits_fake 0.2798,
Train Epoch: [1/15] Iters:[30/20018] gen_loss -2.2946, rec_loss 0.0244, lpips_loss 0.1946, g_loss -0.3053, disc_weight 0.4000, disc_adaptive_weight 8.5876, d_loss 1.9366, logits_real 0.3239, logits_fake 0.3043,
Train Epoch: [1/15] Iters:[40/20018] gen_loss -2.1674, rec_loss 0.0246, lpips_loss 0.1929, g_loss -0.3128, disc_weight 0.4000, disc_adaptive_weight 7.9318, d_loss 1.8033, logits_real 0.3223, logits_fake 0.3118,
Train Epoch: [1/15] Iters:[50/20018] gen_loss -1.9533, rec_loss 0.0247, lpips_loss 0.1922, g_loss -0.3188, disc_weight 0.4000, disc_adaptive_weight 7.1111, d_loss 1.6930, logits_real 0.3211, logits_fake 0.3169,
Train Epoch: [1/15] Iters:[60/20018] gen_loss -1.6937, rec_loss 0.0246, lpips_loss 0.1885, g_loss -0.3303, disc_weight 0.4000, disc_adaptive_weight 5.8261, d_loss 1.4544, logits_real 0.3176, logits_fake 0.3298,
Train Epoch: [1/15] Iters:[70/20018] gen_loss -1.4615, rec_loss 0.0241, lpips_loss 0.1858, g_loss -0.3333, disc_weight 0.4000, disc_adaptive_weight 4.9798, d_loss 1.2866, logits_real 0.3153, logits_fake 0.3330,
Train Epoch: [1/15] Iters:[80/20018] gen_loss -1.2246, rec_loss 0.0243, lpips_loss 0.1845, g_loss -0.3251, disc_weight 0.4000, disc_adaptive_weight 4.4063, d_loss 1.1592, logits_real 0.3110, logits_fake 0.3245,
Train Epoch: [1/15] Iters:[90/20018] gen_loss -1.0249, rec_loss 0.0242, lpips_loss 0.1832, g_loss -0.3191, disc_weight 0.4000, disc_adaptive_weight 3.8646, d_loss 1.0619, logits_real 0.3078, logits_fake 0.3188,
Train Epoch: [1/15] Iters:[100/20018] gen_loss -0.9423, rec_loss 0.0240, lpips_loss 0.1815, g_loss -0.3107, disc_weight 0.4000, disc_adaptive_weight 3.6888, d_loss 0.9837, logits_real 0.3038, logits_fake 0.3115,
Train Epoch: [1/15] Iters:[110/20018] gen_loss -0.9313, rec_loss 0.0243, lpips_loss 0.1824, g_loss -0.3068, disc_weight 0.4000, disc_adaptive_weight 3.7022, d_loss 0.9237, logits_real 0.3008, logits_fake 0.3073,
Train Epoch: [1/15] Iters:[120/20018] gen_loss -0.9049, rec_loss 0.0246, lpips_loss 0.1822, g_loss -0.3018, disc_weight 0.4000, disc_adaptive_weight 3.6819, d_loss 0.8758, logits_real 0.2971, logits_fake 0.3024,
Train Epoch: [1/15] Iters:[130/20018] gen_loss -0.8226, rec_loss 0.0246, lpips_loss 0.1823, g_loss -0.2983, disc_weight 0.4000, disc_adaptive_weight 3.4571, d_loss 0.8317, logits_real 0.2944, logits_fake 0.2984,
Train Epoch: [1/15] Iters:[140/20018] gen_loss -0.7799, rec_loss 0.0242, lpips_loss 0.1816, g_loss -0.2944, disc_weight 0.4000, disc_adaptive_weight 3.3473, d_loss 0.7941, logits_real 0.2910, logits_fake 0.2945,
Train Epoch: [1/15] Iters:[150/20018] gen_loss -0.7776, rec_loss 0.0244, lpips_loss 0.1820, g_loss -0.2912, disc_weight 0.4000, disc_adaptive_weight 3.3760, d_loss 0.7643, logits_real 0.2883, logits_fake 0.2913,
Train Epoch: [1/15] Iters:[160/20018] gen_loss -0.7241, rec_loss 0.0241, lpips_loss 0.1811, g_loss -0.2877, disc_weight 0.4000, disc_adaptive_weight 3.2275, d_loss 0.7366, logits_real 0.2853, logits_fake 0.2878,
Train Epoch: [1/15] Iters:[170/20018] gen_loss -0.6792, rec_loss 0.0241, lpips_loss 0.1816, g_loss -0.2844, disc_weight 0.4000, disc_adaptive_weight 3.1122, d_loss 0.7127, logits_real 0.2823, logits_fake 0.2844,
Train Epoch: [1/15] Iters:[180/20018] gen_loss -0.6487, rec_loss 0.0239, lpips_loss 0.1799, g_loss -0.2816, disc_weight 0.4000, disc_adaptive_weight 3.0285, d_loss 0.6935, logits_real 0.2800, logits_fake 0.2819,
Train Epoch: [1/15] Iters:[190/20018] gen_loss -0.6397, rec_loss 0.0239, lpips_loss 0.1796, g_loss -0.2797, disc_weight 0.4000, disc_adaptive_weight 3.0157, d_loss 0.6768, logits_real 0.2782, logits_fake 0.2797,
Train Epoch: [1/15] Iters:[200/20018] gen_loss -0.6068, rec_loss 0.0238, lpips_loss 0.1791, g_loss -0.2772, disc_weight 0.4000, disc_adaptive_weight 2.9197, d_loss 0.6615, logits_real 0.2759, logits_fake 0.2772,
Train Epoch: [1/15] Iters:[210/20018] gen_loss -0.6150, rec_loss 0.0237, lpips_loss 0.1778, g_loss -0.2750, disc_weight 0.4000, disc_adaptive_weight 2.9698, d_loss 0.6478, logits_real 0.2738, logits_fake 0.2751,
Train Epoch: [1/15] Iters:[220/20018] gen_loss -0.5820, rec_loss 0.0236, lpips_loss 0.1774, g_loss -0.2733, disc_weight 0.4000, disc_adaptive_weight 2.8659, d_loss 0.6361, logits_real 0.2720, logits_fake 0.2732,
Train Epoch: [1/15] Iters:[230/20018] gen_loss -0.5968, rec_loss 0.0236, lpips_loss 0.1779, g_loss -0.2713, disc_weight 0.4000, disc_adaptive_weight 2.9452, d_loss 0.6250, logits_real 0.2698, logits_fake 0.2714,
Train Epoch: [1/15] Iters:[240/20018] gen_loss -0.6108, rec_loss 0.0242, lpips_loss 0.1789, g_loss -0.2695, disc_weight 0.4000, disc_adaptive_weight 3.0212, d_loss 0.6162, logits_real 0.2679, logits_fake 0.2695,
Train Epoch: [1/15] Iters:[250/20018] gen_loss -0.6350, rec_loss 0.0238, lpips_loss 0.1783, g_loss -0.2677, disc_weight 0.4000, disc_adaptive_weight 3.1274, d_loss 0.6075, logits_real 0.2661, logits_fake 0.2678,
Train Epoch: [1/15] Iters:[260/20018] gen_loss -0.6321, rec_loss 0.0238, lpips_loss 0.1796, g_loss -0.2662, disc_weight 0.4000, disc_adaptive_weight 3.1390, d_loss 0.6001, logits_real 0.2645, logits_fake 0.2659,
Train Epoch: [1/15] Iters:[270/20018] gen_loss -0.6474, rec_loss 0.0239, lpips_loss 0.1790, g_loss -0.2644, disc_weight 0.4000, disc_adaptive_weight 3.2148, d_loss 0.5937, logits_real 0.2629, logits_fake 0.2643,
Train Epoch: [1/15] Iters:[280/20018] gen_loss -0.6505, rec_loss 0.0237, lpips_loss 0.1784, g_loss -0.2629, disc_weight 0.4000, disc_adaptive_weight 3.2414, d_loss 0.5876, logits_real 0.2612, logits_fake 0.2626,
Train Epoch: [1/15] Iters:[290/20018] gen_loss -0.6499, rec_loss 0.0232, lpips_loss 0.1770, g_loss -0.2612, disc_weight 0.4000, disc_adaptive_weight 3.2537, d_loss 0.5810, logits_real 0.2590, logits_fake 0.2610,
Train Epoch: [1/15] Iters:[300/20018] gen_loss -0.6552, rec_loss 0.0237, lpips_loss 0.1769, g_loss -0.2596, disc_weight 0.4000, disc_adaptive_weight 3.2957, d_loss 0.5764, logits_real 0.2570, logits_fake 0.2593,
