dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 50
refinement_epochs: 10
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: FFHQ
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_FFHQ_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/50] Iters:[10/1093] transplant_loss 10.2928, rec_loss 0.3974, p_loss 0.8347, quant_error 1.0067, utilization 0.0338, perplexity 387.1545,
Train Epoch: [1/50] Iters:[20/1093] transplant_loss 9.8353, rec_loss 0.2813, p_loss 0.7829, quant_error 0.7913, utilization 0.0250, perplexity 240.2723,
Train Epoch: [1/50] Iters:[30/1093] transplant_loss 8.7550, rec_loss 0.2260, p_loss 0.7377, quant_error 0.6670, utilization 0.0282, perplexity 222.9901,
Train Epoch: [1/50] Iters:[40/1093] transplant_loss 7.8309, rec_loss 0.1903, p_loss 0.6876, quant_error 0.5927, utilization 0.0386, perplexity 301.3558,
Train Epoch: [1/50] Iters:[50/1093] transplant_loss 7.1033, rec_loss 0.1649, p_loss 0.6364, quant_error 0.5411, utilization 0.0588, perplexity 527.8880,
Train Epoch: [1/50] Iters:[60/1093] transplant_loss 5.7793, rec_loss 0.0937, p_loss 0.5388, quant_error 0.3976, utilization 0.0911, perplexity 981.4696,
Train Epoch: [1/50] Iters:[70/1093] transplant_loss 4.6010, rec_loss 0.0668, p_loss 0.4481, quant_error 0.3354, utilization 0.1357, perplexity 1853.4015,
Train Epoch: [1/50] Iters:[80/1093] transplant_loss 3.9764, rec_loss 0.0487, p_loss 0.3644, quant_error 0.3016, utilization 0.1824, perplexity 2987.6602,
Train Epoch: [1/50] Iters:[90/1093] transplant_loss 3.7041, rec_loss 0.0367, p_loss 0.2987, quant_error 0.2775, utilization 0.2253, perplexity 4209.3534,
Train Epoch: [1/50] Iters:[100/1093] transplant_loss 3.6288, rec_loss 0.0281, p_loss 0.2516, quant_error 0.2587, utilization 0.2569, perplexity 5378.1390,
Train Epoch: [1/50] Iters:[110/1093] transplant_loss 3.6803, rec_loss 0.0237, p_loss 0.2213, quant_error 0.2508, utilization 0.2797, perplexity 6426.0442,
Train Epoch: [1/50] Iters:[120/1093] transplant_loss 3.7589, rec_loss 0.0218, p_loss 0.2045, quant_error 0.2490, utilization 0.2955, perplexity 7211.4196,
Train Epoch: [1/50] Iters:[130/1093] transplant_loss 3.8193, rec_loss 0.0209, p_loss 0.1971, quant_error 0.2525, utilization 0.3061, perplexity 7769.8146,
Train Epoch: [1/50] Iters:[140/1093] transplant_loss 3.7830, rec_loss 0.0203, p_loss 0.1933, quant_error 0.2569, utilization 0.3134, perplexity 8187.2012,
Train Epoch: [1/50] Iters:[150/1093] transplant_loss 3.6740, rec_loss 0.0202, p_loss 0.1917, quant_error 0.2617, utilization 0.3152, perplexity 8381.0699,
Train Epoch: [1/50] Iters:[160/1093] transplant_loss 3.5185, rec_loss 0.0202, p_loss 0.1898, quant_error 0.2621, utilization 0.3127, perplexity 8370.3516,
Train Epoch: [1/50] Iters:[170/1093] transplant_loss 3.3389, rec_loss 0.0197, p_loss 0.1871, quant_error 0.2576, utilization 0.3090, perplexity 8282.3222,
Train Epoch: [1/50] Iters:[180/1093] transplant_loss 3.1479, rec_loss 0.0192, p_loss 0.1844, quant_error 0.2484, utilization 0.3067, perplexity 8233.2060,
Train Epoch: [1/50] Iters:[190/1093] transplant_loss 2.9989, rec_loss 0.0188, p_loss 0.1822, quant_error 0.2376, utilization 0.3068, perplexity 8251.0628,
Train Epoch: [1/50] Iters:[200/1093] transplant_loss 2.8862, rec_loss 0.0182, p_loss 0.1796, quant_error 0.2271, utilization 0.3118, perplexity 8458.2113,
Train Epoch: [1/50] Iters:[210/1093] transplant_loss 2.7880, rec_loss 0.0177, p_loss 0.1773, quant_error 0.2192, utilization 0.3204, perplexity 8800.3538,
Train Epoch: [1/50] Iters:[220/1093] transplant_loss 2.6992, rec_loss 0.0175, p_loss 0.1760, quant_error 0.2142, utilization 0.3291, perplexity 9147.1262,
Train Epoch: [1/50] Iters:[230/1093] transplant_loss 2.6145, rec_loss 0.0172, p_loss 0.1745, quant_error 0.2107, utilization 0.3358, perplexity 9410.9946,
Train Epoch: [1/50] Iters:[240/1093] transplant_loss 2.5320, rec_loss 0.0171, p_loss 0.1738, quant_error 0.2092, utilization 0.3407, perplexity 9589.9646,
Train Epoch: [1/50] Iters:[250/1093] transplant_loss 2.4357, rec_loss 0.0171, p_loss 0.1737, quant_error 0.2078, utilization 0.3429, perplexity 9659.8177,
Train Epoch: [1/50] Iters:[260/1093] transplant_loss 2.3283, rec_loss 0.0170, p_loss 0.1731, quant_error 0.2061, utilization 0.3431, perplexity 9636.2891,
Train Epoch: [1/50] Iters:[270/1093] transplant_loss 2.2389, rec_loss 0.0172, p_loss 0.1730, quant_error 0.2056, utilization 0.3421, perplexity 9567.4772,
Train Epoch: [1/50] Iters:[280/1093] transplant_loss 2.1587, rec_loss 0.0175, p_loss 0.1739, quant_error 0.2056, utilization 0.3401, perplexity 9452.2715,
Train Epoch: [1/50] Iters:[290/1093] transplant_loss 2.0779, rec_loss 0.0174, p_loss 0.1749, quant_error 0.2053, utilization 0.3376, perplexity 9315.8182,
Train Epoch: [1/50] Iters:[300/1093] transplant_loss 2.0134, rec_loss 0.0174, p_loss 0.1745, quant_error 0.2052, utilization 0.3350, perplexity 9190.6145,
Train Epoch: [1/50] Iters:[310/1093] transplant_loss 1.9618, rec_loss 0.0177, p_loss 0.1753, quant_error 0.2055, utilization 0.3327, perplexity 9100.6195,
Train Epoch: [1/50] Iters:[320/1093] transplant_loss 1.9035, rec_loss 0.0177, p_loss 0.1755, quant_error 0.2048, utilization 0.3299, perplexity 8982.0835,
